side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
short,2025-06-01 13:20:00,8.442,2025-06-01 21:40:00,8.613,一卖信号开仓,一买信号平仓,-0.02225586353944564
long,2025-06-01 21:40:00,8.613,2025-06-01 21:40:00,8.613,一买信号开仓,三卖信号平仓,-0.002
short,2025-06-01 21:40:00,8.613,2025-06-02 06:00:00,8.466,三卖信号开仓,一买信号平仓,0.01506722396377569
long,2025-06-02 06:00:00,8.466,2025-06-02 14:20:00,8.593,一买信号开仓,一卖信号平仓,0.013001181195369861
short,2025-06-02 14:20:00,8.593,2025-06-02 14:20:00,8.593,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-02 14:20:00,8.593,2025-06-02 14:20:00,8.593,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-02 14:20:00,8.593,2025-06-03 07:00:00,9.05,一卖信号开仓,一买信号平仓,-0.055182823228209
long,2025-06-03 07:00:00,9.05,2025-06-03 23:40:00,8.942,一买信号开仓,一卖信号平仓,-0.013933701657458662
short,2025-06-03 23:40:00,8.942,2025-06-03 23:40:00,8.942,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-03 23:40:00,8.942,2025-06-03 23:40:00,8.942,一买信号开仓,三卖信号平仓,-0.002
short,2025-06-03 23:40:00,8.942,2025-06-03 23:40:00,8.942,三卖信号开仓,一买信号平仓,-0.002
long,2025-06-03 23:40:00,8.942,2025-06-04 16:20:00,8.986,一买信号开仓,三卖信号平仓,0.0029205994184746693
short,2025-06-04 16:20:00,8.986,2025-06-05 00:40:00,8.762,三卖信号开仓,一买信号平仓,0.022927665257066576
long,2025-06-05 00:40:00,8.762,2025-06-05 17:20:00,8.605,一买信号开仓,一卖信号平仓,-0.019918283496918487
short,2025-06-05 17:20:00,8.605,2025-06-05 17:20:00,8.605,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-05 17:20:00,8.605,2025-06-06 01:40:00,7.959,一买信号开仓,一卖信号平仓,-0.07707263219058691
short,2025-06-06 01:40:00,7.959,2025-06-06 10:00:00,8.164,一卖信号开仓,三买信号平仓,-0.027757004648825134
long,2025-06-06 10:00:00,8.164,2025-06-06 10:00:00,8.164,三买信号开仓,一卖信号平仓,-0.002
short,2025-06-06 10:00:00,8.164,2025-06-06 18:20:00,8.129,一卖信号开仓,三买信号平仓,0.0022871141597256023
long,2025-06-06 18:20:00,8.129,2025-06-06 18:20:00,8.129,三买信号开仓,三卖信号平仓,-0.002
short,2025-06-06 18:20:00,8.129,2025-06-07 02:40:00,8.276,三卖信号开仓,三买信号平仓,-0.020083405092877316
long,2025-06-07 02:40:00,8.276,2025-06-07 02:40:00,8.276,三买信号开仓,一卖信号平仓,-0.002
short,2025-06-07 02:40:00,8.276,2025-06-07 02:40:00,8.276,一卖信号开仓,三买信号平仓,-0.002
long,2025-06-07 02:40:00,8.276,2025-06-07 11:00:00,8.543,三买信号开仓,一卖信号平仓,0.030261962300628165
short,2025-06-07 11:00:00,8.543,2025-06-07 11:00:00,8.543,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-07 11:00:00,8.543,2025-06-07 11:00:00,8.543,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-07 11:00:00,8.543,2025-06-07 11:00:00,8.543,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-07 11:00:00,8.543,2025-06-07 19:20:00,8.503,一买信号开仓,三卖信号平仓,-0.006682195949900381
short,2025-06-07 19:20:00,8.503,2025-06-07 19:20:00,8.503,三卖信号开仓,一买信号平仓,-0.002
long,2025-06-07 19:20:00,8.503,2025-06-08 03:40:00,8.444,一买信号开仓,一卖信号平仓,-0.008938727507938336
short,2025-06-08 03:40:00,8.444,2025-06-08 12:00:00,8.388,一卖信号开仓,一买信号平仓,0.004631927996210485
long,2025-06-08 12:00:00,8.388,2025-06-08 12:00:00,8.388,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-08 12:00:00,8.388,2025-06-09 04:40:00,8.409,一卖信号开仓,一买信号平仓,-0.004503576537911334
long,2025-06-09 04:40:00,8.409,2025-06-09 13:00:00,8.717,一买信号开仓,一卖信号平仓,0.034627422999167434
short,2025-06-09 13:00:00,8.717,2025-06-09 21:20:00,8.99,一卖信号开仓,三买信号平仓,-0.033318114030056245
long,2025-06-09 21:20:00,8.99,2025-06-10 05:40:00,9.121,三买信号开仓,一卖信号平仓,0.01257174638487202
short,2025-06-10 05:40:00,9.121,2025-06-10 05:40:00,9.121,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-10 05:40:00,9.121,2025-06-10 05:40:00,9.121,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-10 05:40:00,9.121,2025-06-10 14:00:00,9.49,一卖信号开仓,一买信号平仓,-0.04245609034097142
long,2025-06-10 14:00:00,9.49,2025-06-10 14:00:00,9.49,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-10 14:00:00,9.49,2025-06-11 06:40:00,9.528,一卖信号开仓,一买信号平仓,-0.0060042149631192015
long,2025-06-11 06:40:00,9.528,2025-06-11 15:00:00,9.663,一买信号开仓,一卖信号平仓,0.01216876574307313
short,2025-06-11 15:00:00,9.663,2025-06-11 23:20:00,9.135,一卖信号开仓,一买信号平仓,0.05264141570940706
long,2025-06-11 23:20:00,9.135,2025-06-11 23:20:00,9.135,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-11 23:20:00,9.135,2025-06-11 23:20:00,9.135,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-11 23:20:00,9.135,2025-06-11 23:20:00,9.135,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-11 23:20:00,9.135,2025-06-11 23:20:00,9.135,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-11 23:20:00,9.135,2025-06-12 07:40:00,8.797,一买信号开仓,一卖信号平仓,-0.039000547345374836
short,2025-06-12 07:40:00,8.797,2025-06-12 07:40:00,8.797,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-12 07:40:00,8.797,2025-06-12 16:00:00,8.523,一买信号开仓,三卖信号平仓,-0.03314698192565657
short,2025-06-12 16:00:00,8.523,2025-06-12 16:00:00,8.523,三卖信号开仓,一买信号平仓,-0.002
long,2025-06-12 16:00:00,8.523,2025-06-13 00:20:00,7.666,一买信号开仓,一卖信号平仓,-0.10255144902029789
short,2025-06-13 00:20:00,7.666,2025-06-13 00:20:00,7.666,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-13 00:20:00,7.666,2025-06-13 08:40:00,7.636,一买信号开仓,一卖信号平仓,-0.005913383772501944
short,2025-06-13 08:40:00,7.636,2025-06-13 17:00:00,7.839,一卖信号开仓,一买信号平仓,-0.028584599266631816
long,2025-06-13 17:00:00,7.839,2025-06-14 01:20:00,7.952,一买信号开仓,一卖信号平仓,0.012415103967342802
short,2025-06-14 01:20:00,7.952,2025-06-14 09:40:00,7.923,一卖信号开仓,一买信号平仓,0.001646881287726389
long,2025-06-14 09:40:00,7.923,2025-06-14 09:40:00,7.923,一买信号开仓,一卖信号平仓,-0.002
