side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
long,2025-06-01 01:27:00,8.587,2025-06-01 01:46:00,8.51,看涨OB信号开仓,看跌OB信号平仓,-0.010967043204844538
short,2025-06-01 01:46:00,8.51,2025-06-01 05:34:00,8.511,看跌OB信号开仓,看涨OB信号平仓,-0.0021175088131608604
long,2025-06-01 05:34:00,8.511,2025-06-01 05:40:00,8.519,看涨OB信号开仓,看跌OB信号平仓,-0.0010600399483020589
short,2025-06-01 05:40:00,8.519,2025-06-01 07:11:00,8.556,看跌OB信号开仓,看涨OB信号平仓,-0.006343232773799555
long,2025-06-01 07:11:00,8.556,2025-06-01 09:17:00,8.528,看涨OB信号开仓,看跌OB信号平仓,-0.005272557269752063
short,2025-06-01 09:17:00,8.528,2025-06-01 09:57:00,8.451,看跌OB信号开仓,看涨OB信号平仓,0.007029080675422185
long,2025-06-01 09:57:00,8.451,2025-06-01 12:37:00,8.315,看涨OB信号开仓,看跌OB信号平仓,-0.01809277008638044
short,2025-06-01 12:37:00,8.315,2025-06-01 13:48:00,8.47,看跌OB信号开仓,看涨OB信号平仓,-0.020641010222489653
long,2025-06-01 13:48:00,8.47,2025-06-01 17:00:00,8.59,看涨OB信号开仓,看跌OB信号平仓,0.01216765053128688
short,2025-06-01 17:00:00,8.59,2025-06-01 21:16:00,8.552,看跌OB信号开仓,看涨OB信号平仓,0.002423748544819639
long,2025-06-01 21:16:00,8.552,2025-06-01 22:28:00,8.725,看涨OB信号开仓,看跌OB信号平仓,0.018229186155285237
short,2025-06-01 22:28:00,8.725,2025-06-01 23:10:00,8.809,看跌OB信号开仓,看涨OB信号平仓,-0.011627507163323834
long,2025-06-01 23:10:00,8.809,2025-06-02 00:21:00,8.702,看涨OB信号开仓,看跌OB信号平仓,-0.014146668180270104
short,2025-06-02 00:21:00,8.702,2025-06-02 02:30:00,8.62,看跌OB信号开仓,看涨OB信号平仓,0.007423121121581279
long,2025-06-02 02:30:00,8.62,2025-06-02 03:11:00,8.522,看涨OB信号开仓,看跌OB信号平仓,-0.013368909512760927
short,2025-06-02 03:11:00,8.522,2025-06-02 03:38:00,8.552,看跌OB信号开仓,看涨OB信号平仓,-0.005520300398967224
long,2025-06-02 03:38:00,8.552,2025-06-02 04:56:00,8.467,看涨OB信号开仓,看跌OB信号平仓,-0.01193919550982214
short,2025-06-02 04:56:00,8.467,2025-06-02 07:05:00,8.591,看跌OB信号开仓,看涨OB信号平仓,-0.016645092712885168
long,2025-06-02 07:05:00,8.591,2025-06-02 08:35:00,8.545,看涨OB信号开仓,看跌OB信号平仓,-0.007354440693749241
short,2025-06-02 08:35:00,8.545,2025-06-02 09:54:00,8.386,看跌OB信号开仓,看涨OB信号平仓,0.016607372732592274
long,2025-06-02 09:54:00,8.386,2025-06-02 10:03:00,8.369,看涨OB信号开仓,看跌OB信号平仓,-0.004027188170760752
short,2025-06-02 10:03:00,8.369,2025-06-02 11:12:00,8.461,看跌OB信号开仓,看涨OB信号平仓,-0.012992950173258409
long,2025-06-02 11:12:00,8.461,2025-06-02 12:37:00,8.442,看涨OB信号开仓,看跌OB信号平仓,-0.004245597447110281
short,2025-06-02 12:37:00,8.442,2025-06-02 12:44:00,8.528,看跌OB信号开仓,看涨OB信号平仓,-0.01218715944089088
long,2025-06-02 12:44:00,8.528,2025-06-02 13:42:00,8.576,看涨OB信号开仓,看跌OB信号平仓,0.0036285178236397115
short,2025-06-02 13:42:00,8.576,2025-06-02 14:27:00,8.685,看跌OB信号开仓,看涨OB信号平仓,-0.014709888059701413
long,2025-06-02 14:27:00,8.685,2025-06-02 15:23:00,8.688,看涨OB信号开仓,看跌OB信号平仓,-0.0016545768566493795
short,2025-06-02 15:23:00,8.688,2025-06-02 16:49:00,8.666,看跌OB信号开仓,看涨OB信号平仓,0.0005322283609576779
long,2025-06-02 16:49:00,8.666,2025-06-02 18:04:00,8.706,看涨OB信号开仓,看跌OB信号平仓,0.0026157396722823485
short,2025-06-02 18:04:00,8.706,2025-06-02 20:59:00,8.839,看跌OB信号开仓,看涨OB信号平仓,-0.01727682058350566
long,2025-06-02 20:59:00,8.839,2025-06-03 02:34:00,8.991,看涨OB信号开仓,看跌OB信号平仓,0.015196515442923221
short,2025-06-03 02:34:00,8.991,2025-06-03 05:40:00,8.993,看跌OB信号开仓,看涨OB信号平仓,-0.0022224446668892544
long,2025-06-03 05:40:00,8.993,2025-06-03 07:11:00,9.047,看涨OB信号开仓,看跌OB信号平仓,0.004004670299121662
short,2025-06-03 07:11:00,9.047,2025-06-03 07:19:00,9.047,看跌OB信号开仓,看涨OB信号平仓,-0.002
long,2025-06-03 07:19:00,9.047,2025-06-03 08:17:00,8.996,看涨OB信号开仓,看跌OB信号平仓,-0.0076372278103238305
short,2025-06-03 08:17:00,8.996,2025-06-03 09:15:00,9.088,看跌OB信号开仓,看涨OB信号平仓,-0.012226767452200747
long,2025-06-03 09:15:00,9.088,2025-06-03 10:38:00,9.101,看涨OB信号开仓,看跌OB信号平仓,-0.0005695422535210142
short,2025-06-03 10:38:00,9.101,2025-06-03 11:35:00,9.096,看跌OB信号开仓,看涨OB信号平仓,-0.0014506098230963032
long,2025-06-03 11:35:00,9.096,2025-06-03 14:47:00,9.176,看涨OB信号开仓,看跌OB信号平仓,0.006795074758135346
short,2025-06-03 14:47:00,9.176,2025-06-03 14:57:00,9.229,看跌OB信号开仓,看涨OB信号平仓,-0.007775937227550099
long,2025-06-03 14:57:00,9.229,2025-06-03 16:13:00,9.16,看涨OB信号开仓,看跌OB信号平仓,-0.00947643298298828
short,2025-06-03 16:13:00,9.16,2025-06-03 17:28:00,9.19,看跌OB信号开仓,看涨OB信号平仓,-0.005275109170305601
long,2025-06-03 17:28:00,9.19,2025-06-03 17:43:00,9.149,看涨OB信号开仓,看跌OB信号平仓,-0.006461371055495156
short,2025-06-03 17:43:00,9.149,2025-06-03 23:47:00,8.94,看跌OB信号开仓,看涨OB信号平仓,0.020844026669581295
long,2025-06-03 23:47:00,8.94,2025-06-04 01:37:00,9.062,看涨OB信号开仓,看跌OB信号平仓,0.011646532438478687
short,2025-06-04 01:37:00,9.062,2025-06-04 03:01:00,9.004,看跌OB信号开仓,看涨OB信号平仓,0.004400353122930857
long,2025-06-04 03:01:00,9.004,2025-06-04 04:25:00,8.891,看涨OB信号开仓,看跌OB信号平仓,-0.01454997778764988
short,2025-06-04 04:25:00,8.891,2025-06-04 04:30:00,8.979,看跌OB信号开仓,看涨OB信号平仓,-0.01189764930828918
long,2025-06-04 04:30:00,8.979,2025-06-04 07:10:00,8.943,看涨OB信号开仓,看跌OB信号平仓,-0.006009355162044703
short,2025-06-04 07:10:00,8.943,2025-06-04 09:37:00,8.902,看跌OB信号开仓,看涨OB信号平仓,0.002584591300458518
long,2025-06-04 09:37:00,8.902,2025-06-04 09:50:00,8.951,看涨OB信号开仓,看跌OB信号平仓,0.0035043810379691304
short,2025-06-04 09:50:00,8.951,2025-06-04 12:11:00,8.848,看跌OB信号开仓,看涨OB信号平仓,0.009507094179421307
long,2025-06-04 12:11:00,8.848,2025-06-04 13:45:00,8.904,看涨OB信号开仓,看跌OB信号平仓,0.0043291139240504446
short,2025-06-04 13:45:00,8.904,2025-06-04 16:32:00,8.978,看跌OB信号开仓,看涨OB信号平仓,-0.010310871518418583
long,2025-06-04 16:32:00,8.978,2025-06-04 16:58:00,8.984,看涨OB信号开仓,看跌OB信号平仓,-0.001331699710403143
short,2025-06-04 16:58:00,8.984,2025-06-04 19:03:00,8.929,看跌OB信号开仓,看涨OB信号平仓,0.004121994657168228
long,2025-06-04 19:03:00,8.929,2025-06-04 21:03:00,8.704,看涨OB信号开仓,看跌OB信号平仓,-0.027198790458057953
short,2025-06-04 21:03:00,8.704,2025-06-04 22:12:00,8.787,看跌OB信号开仓,看涨OB信号平仓,-0.011535845588235281
long,2025-06-04 22:12:00,8.787,2025-06-04 22:14:00,8.775,看涨OB信号开仓,看跌OB信号平仓,-0.0033656538067600144
short,2025-06-04 22:14:00,8.775,2025-06-04 23:25:00,8.692,看跌OB信号开仓,看涨OB信号平仓,0.00745868945868944
long,2025-06-04 23:25:00,8.692,2025-06-05 02:17:00,8.814,看涨OB信号开仓,看跌OB信号平仓,0.012035895075931837
short,2025-06-05 02:17:00,8.814,2025-06-05 02:40:00,8.853,看跌OB信号开仓,看涨OB信号平仓,-0.006424778761061843
long,2025-06-05 02:40:00,8.853,2025-06-05 06:45:00,8.601,看涨OB信号开仓,看跌OB信号平仓,-0.030464927143341147
short,2025-06-05 06:45:00,8.601,2025-06-05 11:15:00,8.661,看跌OB信号开仓,看涨OB信号平仓,-0.008975933031042825
long,2025-06-05 11:15:00,8.661,2025-06-05 12:02:00,8.671,看涨OB信号开仓,看跌OB信号平仓,-0.0008453989146750534
short,2025-06-05 12:02:00,8.671,2025-06-05 12:42:00,8.883,看跌OB信号开仓,看涨OB信号平仓,-0.02644931380463622
long,2025-06-05 12:42:00,8.883,2025-06-05 13:56:00,8.71,看涨OB信号开仓,看跌OB信号平仓,-0.021475402454125714
short,2025-06-05 13:56:00,8.71,2025-06-05 13:59:00,8.743,看跌OB信号开仓,看涨OB信号平仓,-0.005788748564867994
long,2025-06-05 13:59:00,8.743,2025-06-05 15:07:00,8.763,看涨OB信号开仓,看跌OB信号平仓,0.0002875443211711754
short,2025-06-05 15:07:00,8.763,2025-06-05 15:53:00,8.756,看跌OB信号开仓,看涨OB信号平仓,-0.001201186808170716
long,2025-06-05 15:53:00,8.756,2025-06-05 18:14:00,8.438,看涨OB信号开仓,看跌OB信号平仓,-0.03831795340338051
short,2025-06-05 18:14:00,8.438,2025-06-05 20:13:00,8.174,看跌OB信号开仓,看涨OB信号平仓,0.029287034842379822
long,2025-06-05 20:13:00,8.174,2025-06-05 20:15:00,8.129,看涨OB信号开仓,看跌OB信号平仓,-0.007505260582334248
short,2025-06-05 20:15:00,8.129,2025-06-06 01:16:00,7.986,看跌OB信号开仓,看涨OB信号平仓,0.015591339648173165
long,2025-06-06 01:16:00,7.986,2025-06-06 07:47:00,8.136,看涨OB信号开仓,看跌OB信号平仓,0.01678287002253942
short,2025-06-06 07:47:00,8.136,2025-06-06 07:52:00,8.267,看跌OB信号开仓,看涨OB信号平仓,-0.018101278269419874
long,2025-06-06 07:52:00,8.267,2025-06-06 09:53:00,8.17,看涨OB信号开仓,看跌OB信号平仓,-0.013733397846861005
short,2025-06-06 09:53:00,8.17,2025-06-06 10:07:00,8.181,看跌OB信号开仓,看涨OB信号平仓,-0.00334638922888608
long,2025-06-06 10:07:00,8.181,2025-06-06 10:44:00,8.151,看涨OB信号开仓,看跌OB信号平仓,-0.005667033370003625
short,2025-06-06 10:44:00,8.151,2025-06-06 11:14:00,8.208,看跌OB信号开仓,看涨OB信号平仓,-0.00899300699300709
long,2025-06-06 11:14:00,8.208,2025-06-06 11:52:00,8.179,看涨OB信号开仓,看跌OB信号平仓,-0.005533138401559444
short,2025-06-06 11:52:00,8.179,2025-06-06 12:32:00,8.281,看跌OB信号开仓,看涨OB信号平仓,-0.014470962220320292
long,2025-06-06 12:32:00,8.281,2025-06-06 13:24:00,8.283,看涨OB信号开仓,看跌OB信号平仓,-0.0017584832749668582
short,2025-06-06 13:24:00,8.283,2025-06-06 13:47:00,8.404,看跌OB信号开仓,看涨OB信号平仓,-0.016608233731739697
long,2025-06-06 13:47:00,8.404,2025-06-06 13:49:00,8.366,看涨OB信号开仓,看跌OB信号平仓,-0.006521656354117165
short,2025-06-06 13:49:00,8.366,2025-06-06 22:44:00,8.037,看跌OB信号开仓,看涨OB信号平仓,0.037325842696629086
long,2025-06-06 22:44:00,8.037,2025-06-06 23:51:00,8.091,看涨OB信号开仓,看跌OB信号平仓,0.004718924972004325
short,2025-06-06 23:51:00,8.091,2025-06-07 01:13:00,8.259,看跌OB信号开仓,看涨OB信号平仓,-0.022763811642565912
long,2025-06-07 01:13:00,8.259,2025-06-07 01:17:00,8.234,看涨OB信号开仓,看跌OB信号平仓,-0.005027000847560246
