side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
long,2025-06-05 04:00:00,8.737,2025-06-08 07:00:00,8.346,一买信号开仓,三卖信号平仓,-0.04675220327343477
short,2025-06-08 07:00:00,8.346,2025-07-08 12:00:00,7.516,三卖信号开仓,三买信号平仓,0.09744883776659474
long,2025-07-08 12:00:00,7.516,2025-07-14 18:00:00,9.413,三买信号开仓,一卖信号平仓,0.2503948908994147
short,2025-07-14 18:00:00,9.413,2025-07-16 20:00:00,10.057,一卖信号开仓,一买信号平仓,-0.07041602039732275
long,2025-07-16 20:00:00,10.057,2025-08-05 15:00:00,8.943,一买信号开仓,一卖信号平仓,-0.11276861887242728
short,2025-08-05 15:00:00,8.943,2025-08-06 16:00:00,9.171,一卖信号开仓,一买信号平仓,-0.02749480040254948
long,2025-08-06 16:00:00,9.171,2025-08-07 17:00:00,9.491,一买信号开仓,一卖信号平仓,0.03289259622723817
short,2025-08-07 17:00:00,9.491,2025-08-08 18:00:00,9.989,一卖信号开仓,三买信号平仓,-0.05447076177431254
long,2025-08-08 18:00:00,9.989,2025-08-10 20:00:00,10.439,三买信号开仓,一卖信号平仓,0.04304955450996095
short,2025-08-10 20:00:00,10.439,2025-08-12 22:00:00,10.256,一卖信号开仓,一买信号平仓,0.01553041479068873
long,2025-08-12 22:00:00,10.256,2025-08-18 03:00:00,8.971,一买信号开仓,一卖信号平仓,-0.12729251170046807
short,2025-08-18 03:00:00,8.971,2025-08-19 04:00:00,8.722,一卖信号开仓,一买信号平仓,0.02575610299855091
long,2025-08-19 04:00:00,8.722,2025-08-24 09:00:00,9.662,一买信号开仓,一卖信号平仓,0.10577344645723463
short,2025-08-24 09:00:00,9.662,2025-08-30 15:00:00,8.799,一卖信号开仓,一买信号平仓,0.08731898157731333
long,2025-08-30 15:00:00,8.799,2025-08-31 16:00:00,8.826,一买信号开仓,一卖信号平仓,0.001068530514831247
short,2025-08-31 16:00:00,8.826,2025-09-02 18:00:00,8.529,一卖信号开仓,一买信号平仓,0.03165057783820535
long,2025-09-02 18:00:00,8.529,2025-09-09 00:00:00,9.324,一买信号开仓,一卖信号平仓,0.09121139641224052
short,2025-09-09 00:00:00,9.324,2025-09-18 09:00:00,10.359,一卖信号开仓,一买信号平仓,-0.11300386100386106
long,2025-09-18 09:00:00,10.359,2025-09-19 10:00:00,10.228,一买信号开仓,一卖信号平仓,-0.014646008301959721
short,2025-09-19 10:00:00,10.228,2025-09-21 12:00:00,10.052,一卖信号开仓,一买信号平仓,0.015207665232694569
long,2025-09-21 12:00:00,10.052,2025-09-21 12:00:00,10.052,一买信号开仓,一卖信号平仓,-0.002
short,2025-09-21 12:00:00,10.052,2025-10-04 00:00:00,8.846,一卖信号开仓,三买信号平仓,0.11797612415439707
long,2025-10-04 00:00:00,8.846,2026-04-17 20:00:00,6.383,三买信号开仓,一卖信号平仓,-0.28043092923355195
short,2026-04-17 20:00:00,6.383,2026-04-28 06:00:00,4.328,一卖信号开仓,二买信号平仓,0.31994892683691045
long,2026-04-28 06:00:00,4.328,2026-05-02 10:00:00,4.642,二买信号开仓,一卖信号平仓,0.07055083179297594
short,2026-05-02 10:00:00,4.642,2026-05-08 16:00:00,5.298,一卖信号开仓,一买信号平仓,-0.14331839724256779
long,2026-05-08 16:00:00,5.298,2026-05-11 19:00:00,5.006,一买信号开仓,三卖信号平仓,-0.05711513778784438
short,2026-05-11 19:00:00,5.006,2026-05-17 00:00:00,4.285,三卖信号开仓,一买信号平仓,0.14202716739912102
long,2026-05-17 00:00:00,4.285,2026-05-18 01:00:00,4.153,一买信号开仓,三卖信号平仓,-0.03280513418903164
short,2026-05-18 01:00:00,4.153,2026-05-24 07:00:00,4.05,三卖信号开仓,一买信号平仓,0.022801348422826773
long,2026-05-24 07:00:00,4.05,2026-05-31 23:30:00,3.452,一买信号开仓,回测结束强制平仓,-0.1496543209876543
