side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
long,2025-06-01 22:30:00,8.725,2025-06-04 12:00:00,8.798,CHoCH多信号开仓,CHoCH空信号平仓,0.006366762177650422
short,2025-06-04 12:00:00,8.798,2025-06-04 15:30:00,9.028,CHoCH空信号开仓,CHoCH多信号平仓,-0.028142305069333906
long,2025-06-04 15:30:00,9.028,2025-06-04 20:30:00,8.756,CHoCH多信号开仓,CHoCH空信号平仓,-0.032128489144882644
short,2025-06-04 20:30:00,8.756,2025-06-05 12:30:00,8.84,CHoCH空信号开仓,CHoCH多信号平仓,-0.011593421653723011
long,2025-06-05 12:30:00,8.84,2025-06-05 16:30:00,8.524,CHoCH多信号开仓,CHoCH空信号平仓,-0.037746606334841726
short,2025-06-05 16:30:00,8.524,2025-06-06 14:30:00,8.394,CHoCH空信号开仓,CHoCH多信号平仓,0.013251055842327443
long,2025-06-06 14:30:00,8.394,2025-06-06 19:30:00,7.977,CHoCH多信号开仓,CHoCH空信号平仓,-0.05167834167262331
short,2025-06-06 19:30:00,7.977,2025-06-07 07:00:00,8.552,CHoCH空信号开仓,CHoCH多信号平仓,-0.07408223642973533
long,2025-06-07 07:00:00,8.552,2025-06-07 17:00:00,8.479,CHoCH多信号开仓,CHoCH空信号平仓,-0.010536014967259198
short,2025-06-07 17:00:00,8.479,2025-06-08 22:00:00,8.568,CHoCH空信号开仓,CHoCH多信号平仓,-0.012496520816134058
long,2025-06-08 22:00:00,8.568,2025-06-11 10:00:00,9.366,CHoCH多信号开仓,CHoCH空信号平仓,0.0911372549019609
short,2025-06-11 10:00:00,9.366,2025-06-11 14:30:00,9.684,CHoCH空信号开仓,CHoCH多信号平仓,-0.03595259449071109
long,2025-06-11 14:30:00,9.684,2025-06-11 22:00:00,9.181,CHoCH多信号开仓,CHoCH空信号平仓,-0.053941346551012015
short,2025-06-11 22:00:00,9.181,2025-06-13 15:30:00,7.77,CHoCH空信号开仓,CHoCH多信号平仓,0.1516869622045528
long,2025-06-13 15:30:00,7.77,2025-06-14 17:00:00,7.814,CHoCH多信号开仓,CHoCH空信号平仓,0.0036628056628056366
short,2025-06-14 17:00:00,7.814,2025-06-14 22:00:00,7.992,CHoCH空信号开仓,CHoCH多信号平仓,-0.024779626311748126
long,2025-06-14 22:00:00,7.992,2025-06-15 06:30:00,7.927,CHoCH多信号开仓,CHoCH空信号平仓,-0.01013313313313313
short,2025-06-15 06:30:00,7.927,2025-06-15 22:30:00,7.928,CHoCH空信号开仓,CHoCH多信号平仓,-0.0021261511290526763
long,2025-06-15 22:30:00,7.928,2025-06-17 00:00:00,7.953,CHoCH多信号开仓,CHoCH空信号平仓,0.0011533804238144114
short,2025-06-17 00:00:00,7.953,2025-06-18 21:00:00,7.61,CHoCH空信号开仓,CHoCH多信号平仓,0.04112837922796431
long,2025-06-18 21:00:00,7.61,2025-06-19 14:00:00,7.498,CHoCH多信号开仓,CHoCH空信号平仓,-0.016717477003942216
short,2025-06-19 14:00:00,7.498,2025-06-20 07:30:00,7.64,CHoCH空信号开仓,CHoCH多信号平仓,-0.020938383568951613
long,2025-06-20 07:30:00,7.64,2025-06-20 16:30:00,7.358,CHoCH多信号开仓,CHoCH空信号平仓,-0.038910994764397966
short,2025-06-20 16:30:00,7.358,2025-06-23 09:00:00,6.69,CHoCH空信号开仓,CHoCH多信号平仓,0.08878553954879032
long,2025-06-23 09:00:00,6.69,2025-06-23 16:30:00,6.567,CHoCH多信号开仓,CHoCH空信号平仓,-0.020385650224215235
short,2025-06-23 16:30:00,6.567,2025-06-23 18:30:00,6.901,CHoCH空信号开仓,CHoCH多信号平仓,-0.052860362418151396
long,2025-06-23 18:30:00,6.901,2025-06-25 08:30:00,7.287,CHoCH多信号开仓,CHoCH空信号平仓,0.05393392261991026
short,2025-06-25 08:30:00,7.287,2025-06-26 03:00:00,7.287,CHoCH空信号开仓,CHoCH多信号平仓,-0.002
long,2025-06-26 03:00:00,7.287,2025-06-26 09:30:00,7.125,CHoCH多信号开仓,CHoCH空信号平仓,-0.024231370934540974
short,2025-06-26 09:30:00,7.125,2025-06-27 16:30:00,7.08,CHoCH空信号开仓,CHoCH多信号平仓,0.0043157894736841635
long,2025-06-27 16:30:00,7.08,2025-06-30 10:00:00,7.582,CHoCH多信号开仓,CHoCH空信号平仓,0.06890395480225986
short,2025-06-30 10:00:00,7.582,2025-07-02 11:00:00,7.269,CHoCH空信号开仓,CHoCH多信号平仓,0.03928198364547608
long,2025-07-02 11:00:00,7.269,2025-07-03 15:30:00,7.958,CHoCH多信号开仓,CHoCH空信号平仓,0.09278607786490567
short,2025-07-03 15:30:00,7.958,2025-07-06 07:30:00,7.444,CHoCH空信号开仓,CHoCH多信号平仓,0.06258909273686863
long,2025-07-06 07:30:00,7.444,2025-07-07 07:00:00,7.566,CHoCH多信号开仓,CHoCH空信号平仓,0.014389038151531476
short,2025-07-07 07:00:00,7.566,2025-07-08 10:30:00,7.47,CHoCH空信号开仓,CHoCH多信号平仓,0.010688342585249868
long,2025-07-08 10:30:00,7.47,2025-07-11 22:30:00,9.502,CHoCH多信号开仓,CHoCH空信号平仓,0.27002141900937104
short,2025-07-11 22:30:00,9.502,2025-07-13 05:00:00,9.388,CHoCH空信号开仓,CHoCH多信号平仓,0.009997474215954651
long,2025-07-13 05:00:00,9.388,2025-07-14 14:30:00,9.43,CHoCH多信号开仓,CHoCH空信号平仓,0.0024737963357477372
short,2025-07-14 14:30:00,9.43,2025-07-15 13:30:00,9.442,CHoCH空信号开仓,CHoCH多信号平仓,-0.0032725344644750614
long,2025-07-15 13:30:00,9.442,2025-07-17 02:00:00,9.984,CHoCH多信号开仓,CHoCH空信号平仓,0.05540309256513454
short,2025-07-17 02:00:00,9.984,2025-07-18 01:30:00,10.468,CHoCH空信号开仓,CHoCH多信号平仓,-0.0504775641025641
long,2025-07-18 01:30:00,10.468,2025-07-18 14:30:00,10.763,CHoCH多信号开仓,CHoCH空信号平仓,0.02618112342376766
short,2025-07-18 14:30:00,10.763,2025-07-19 03:30:00,10.484,CHoCH空信号开仓,CHoCH多信号平仓,0.02392214066710019
long,2025-07-19 03:30:00,10.484,2025-07-22 04:30:00,10.995,CHoCH多信号开仓,CHoCH空信号平仓,0.04674093857306372
short,2025-07-22 04:30:00,10.995,2025-07-22 16:30:00,11.091,CHoCH空信号开仓,CHoCH多信号平仓,-0.0107312414733971
long,2025-07-22 16:30:00,11.091,2025-07-23 10:00:00,10.881,CHoCH多信号开仓,CHoCH空信号平仓,-0.02093427103056522
short,2025-07-23 10:00:00,10.881,2025-07-25 08:30:00,9.772,CHoCH空信号开仓,CHoCH多信号平仓,0.09992077934013421
long,2025-07-25 08:30:00,9.772,2025-07-28 16:00:00,11.182,CHoCH多信号开仓,CHoCH空信号平仓,0.1422898076135899
short,2025-07-28 16:00:00,11.182,2025-07-31 09:00:00,10.002,CHoCH空信号开仓,CHoCH多信号平仓,0.10352673940261126
long,2025-07-31 09:00:00,10.002,2025-07-31 12:00:00,9.884,CHoCH多信号开仓,CHoCH空信号平仓,-0.01379764047190568
short,2025-07-31 12:00:00,9.884,2025-08-03 22:00:00,8.862,CHoCH空信号开仓,CHoCH多信号平仓,0.10139943342776203
long,2025-08-03 22:00:00,8.862,2025-08-05 07:00:00,9.053,CHoCH多信号开仓,CHoCH空信号平仓,0.019552696908147205
short,2025-08-05 07:00:00,9.053,2025-08-06 07:00:00,8.963,CHoCH空信号开仓,CHoCH多信号平仓,0.007941455870982163
long,2025-08-06 07:00:00,8.963,2025-08-07 03:30:00,9.127,CHoCH多信号开仓,CHoCH空信号平仓,0.016297445051880022
short,2025-08-07 03:30:00,9.127,2025-08-07 10:30:00,9.521,CHoCH空信号开仓,CHoCH多信号平仓,-0.04516862057631199
long,2025-08-07 10:30:00,9.521,2025-08-08 06:00:00,9.575,CHoCH多信号开仓,CHoCH空信号平仓,0.003671673143577305
short,2025-08-08 06:00:00,9.575,2025-08-08 14:00:00,9.848,CHoCH空信号开仓,CHoCH多信号平仓,-0.030511749347258643
long,2025-08-08 14:00:00,9.848,2025-08-10 03:00:00,10.418,CHoCH多信号开仓,CHoCH空信号平仓,0.05587977254264809
short,2025-08-10 03:00:00,10.418,2025-08-11 02:00:00,10.526,CHoCH空信号开仓,CHoCH多信号平仓,-0.012366673065847598
long,2025-08-11 02:00:00,10.526,2025-08-11 11:00:00,10.285,CHoCH多信号开仓,CHoCH空信号平仓,-0.02489568687060606
short,2025-08-11 11:00:00,10.285,2025-08-12 13:00:00,9.853,CHoCH空信号开仓,CHoCH多信号平仓,0.04000291686922708
long,2025-08-12 13:00:00,9.853,2025-08-14 06:00:00,10.407,CHoCH多信号开仓,CHoCH空信号平仓,0.054226529990865746
short,2025-08-14 06:00:00,10.407,2025-08-16 04:30:00,9.139,CHoCH空信号开仓,CHoCH多信号平仓,0.11984106851157883
long,2025-08-16 04:30:00,9.139,2025-08-16 12:00:00,9.024,CHoCH多信号开仓,CHoCH空信号平仓,-0.014583433636065289
short,2025-08-16 12:00:00,9.024,2025-08-16 15:30:00,9.284,CHoCH空信号开仓,CHoCH多信号平仓,-0.03081205673758891
long,2025-08-16 15:30:00,9.284,2025-08-18 02:30:00,9.036,CHoCH多信号开仓,CHoCH空信号平仓,-0.02871262386902207
short,2025-08-18 02:30:00,9.036,2025-08-18 13:00:00,9.107,CHoCH空信号开仓,CHoCH多信号平仓,-0.009857459052678095
long,2025-08-18 13:00:00,9.107,2025-08-19 00:30:00,8.851,CHoCH多信号开仓,CHoCH空信号平仓,-0.030110244866585978
short,2025-08-19 00:30:00,8.851,2025-08-20 15:30:00,8.889,CHoCH空信号开仓,CHoCH多信号平仓,-0.006293300192068417
long,2025-08-20 15:30:00,8.889,2025-08-21 07:30:00,8.881,CHoCH多信号开仓,CHoCH空信号平仓,-0.0028999887501405235
short,2025-08-21 07:30:00,8.881,2025-08-22 02:30:00,8.835,CHoCH空信号开仓,CHoCH多信号平仓,0.003179596892241789
long,2025-08-22 02:30:00,8.835,2025-08-22 12:00:00,8.609,CHoCH多信号开仓,CHoCH空信号平仓,-0.02758007923033401
short,2025-08-22 12:00:00,8.609,2025-08-22 14:30:00,8.894,CHoCH空信号开仓,CHoCH多信号平仓,-0.035104890231153485
long,2025-08-22 14:30:00,8.894,2025-08-24 03:30:00,9.842,CHoCH多信号开仓,CHoCH空信号平仓,0.10458871149089277
short,2025-08-24 03:30:00,9.842,2025-08-26 13:00:00,8.536,CHoCH空信号开仓,CHoCH多信号平仓,0.13069660638081704
long,2025-08-26 13:00:00,8.536,2025-08-28 17:00:00,8.711,CHoCH多信号开仓,CHoCH空信号平仓,0.018501405810684268
short,2025-08-28 17:00:00,8.711,2025-08-28 23:00:00,9.087,CHoCH空信号开仓,CHoCH多信号平仓,-0.04516381586499829
long,2025-08-28 23:00:00,9.087,2025-08-29 07:30:00,8.693,CHoCH多信号开仓,CHoCH空信号平仓,-0.0453586442170133
short,2025-08-29 07:30:00,8.693,2025-08-30 03:30:00,8.718,CHoCH空信号开仓,CHoCH多信号平仓,-0.004875877142528571
long,2025-08-30 03:30:00,8.718,2025-08-31 10:30:00,8.773,CHoCH多信号开仓,CHoCH空信号平仓,0.0043087864189033116
short,2025-08-31 10:30:00,8.773,2025-08-31 19:00:00,8.877,CHoCH空信号开仓,CHoCH多信号平仓,-0.01385455374444322
long,2025-08-31 19:00:00,8.877,2025-08-31 23:30:00,8.701,CHoCH多信号开仓,CHoCH空信号平仓,-0.0218265179677819
short,2025-08-31 23:30:00,8.701,2025-09-01 09:00:00,8.891,CHoCH空信号开仓,CHoCH多信号平仓,-0.02383657050913679
long,2025-09-01 09:00:00,8.891,2025-09-01 17:30:00,8.361,CHoCH多信号开仓,CHoCH空信号平仓,-0.061610842424923984
short,2025-09-01 17:30:00,8.361,2025-09-02 07:00:00,8.518,CHoCH空信号开仓,CHoCH多信号平仓,-0.020777658174859548
long,2025-09-02 07:00:00,8.518,2025-09-02 12:30:00,8.372,CHoCH多信号开仓,CHoCH空信号平仓,-0.019140173749706557
short,2025-09-02 12:30:00,8.372,2025-09-02 14:00:00,8.54,CHoCH空信号开仓,CHoCH多信号平仓,-0.022066889632107012
long,2025-09-02 14:00:00,8.54,2025-09-04 15:30:00,8.571,CHoCH多信号开仓,CHoCH空信号平仓,0.0016299765807963346
short,2025-09-04 15:30:00,8.571,2025-09-05 05:00:00,8.708,CHoCH空信号开仓,CHoCH多信号平仓,-0.01798413253996034
long,2025-09-05 05:00:00,8.708,2025-09-09 16:00:00,9.127,CHoCH多信号开仓,CHoCH空信号平仓,0.04611667432246214
short,2025-09-09 16:00:00,9.127,2025-09-10 03:30:00,9.841,CHoCH空信号开仓,CHoCH多信号平仓,-0.08022942916621001
long,2025-09-10 03:30:00,9.841,2025-09-10 17:30:00,9.5,CHoCH多信号开仓,CHoCH空信号平仓,-0.03665095010669639
short,2025-09-10 17:30:00,9.5,2025-09-11 20:30:00,9.628,CHoCH空信号开仓,CHoCH多信号平仓,-0.015473684210526304
long,2025-09-11 20:30:00,9.628,2025-09-12 12:00:00,9.721,CHoCH多信号开仓,CHoCH空信号平仓,0.007659326963024517
short,2025-09-12 12:00:00,9.721,2025-09-12 16:30:00,9.931,CHoCH空信号开仓,CHoCH多信号平仓,-0.02360271576998252
long,2025-09-12 16:30:00,9.931,2025-09-14 05:00:00,10.191,CHoCH多信号开仓,CHoCH空信号平仓,0.024180646460578048
short,2025-09-14 05:00:00,10.191,2025-09-15 05:30:00,10.087,CHoCH空信号开仓,CHoCH多信号平仓,0.008205082916298735
long,2025-09-15 05:30:00,10.087,2025-09-15 08:00:00,9.713,CHoCH多信号开仓,CHoCH空信号平仓,-0.03907742639040357
short,2025-09-15 08:00:00,9.713,2025-09-16 06:00:00,9.52,CHoCH空信号开仓,CHoCH多信号平仓,0.017870276948419583
long,2025-09-16 06:00:00,9.52,2025-09-17 05:00:00,9.739,CHoCH多信号开仓,CHoCH空信号平仓,0.021004201680672407
short,2025-09-17 05:00:00,9.739,2025-09-17 18:30:00,9.904,CHoCH空信号开仓,CHoCH多信号平仓,-0.018942191190060464
long,2025-09-17 18:30:00,9.904,2025-09-18 06:30:00,10.218,CHoCH多信号开仓,CHoCH空信号平仓,0.02970436187399028
short,2025-09-18 06:30:00,10.218,2025-09-18 14:30:00,10.515,CHoCH空信号开仓,CHoCH多信号平仓,-0.031066353493834464
long,2025-09-18 14:30:00,10.515,2025-09-19 02:30:00,10.452,CHoCH多信号开仓,CHoCH空信号平仓,-0.007991440798858827
short,2025-09-19 02:30:00,10.452,2025-09-20 05:00:00,9.995,CHoCH空信号开仓,CHoCH多信号平仓,0.04172368924607739
long,2025-09-20 05:00:00,9.995,2025-09-21 11:00:00,9.995,CHoCH多信号开仓,CHoCH空信号平仓,-0.002
short,2025-09-21 11:00:00,9.995,2025-09-23 04:00:00,8.532,CHoCH空信号开仓,CHoCH多信号平仓,0.14437318659329657
long,2025-09-23 04:00:00,8.532,2025-09-23 19:00:00,8.451,CHoCH多信号开仓,CHoCH空信号平仓,-0.011493670886075889
short,2025-09-23 19:00:00,8.451,2025-09-24 10:00:00,8.529,CHoCH空信号开仓,CHoCH多信号平仓,-0.011229676961306277
long,2025-09-24 10:00:00,8.529,2025-09-24 22:00:00,8.362,CHoCH多信号开仓,CHoCH空信号平仓,-0.02158025559854615
short,2025-09-24 22:00:00,8.362,2025-09-26 13:00:00,7.983,CHoCH空信号开仓,CHoCH多信号平仓,0.04332408514709407
long,2025-09-26 13:00:00,7.983,2025-09-27 09:30:00,8.213,CHoCH多信号开仓,CHoCH空信号平仓,0.026811223850682575
short,2025-09-27 09:30:00,8.213,2025-09-27 16:00:00,8.881,CHoCH空信号开仓,CHoCH多信号平仓,-0.08333446974309044
long,2025-09-27 16:00:00,8.881,2025-09-28 01:00:00,8.127,CHoCH多信号开仓,CHoCH空信号平仓,-0.0869003490597905
short,2025-09-28 01:00:00,8.127,2025-09-28 20:30:00,8.081,CHoCH空信号开仓,CHoCH多信号平仓,0.0036601451950291092
long,2025-09-28 20:30:00,8.081,2025-09-29 11:00:00,7.886,CHoCH多信号开仓,CHoCH空信号平仓,-0.026130676896423677
short,2025-09-29 11:00:00,7.886,2025-09-29 21:00:00,8.123,CHoCH空信号开仓,CHoCH多信号平仓,-0.032053258939893414
long,2025-09-29 21:00:00,8.123,2025-09-30 15:30:00,7.715,CHoCH多信号开仓,CHoCH空信号平仓,-0.05222774836882915
short,2025-09-30 15:30:00,7.715,2025-09-30 20:30:00,7.955,CHoCH空信号开仓,CHoCH多信号平仓,-0.03310823071937796
long,2025-09-30 20:30:00,7.955,2025-10-01 04:00:00,7.834,CHoCH多信号开仓,CHoCH空信号平仓,-0.017210559396605984
short,2025-10-01 04:00:00,7.834,2025-10-01 09:00:00,8.186,CHoCH空信号开仓,CHoCH多信号平仓,-0.04693234618330355
long,2025-10-01 09:00:00,8.186,2025-10-03 07:30:00,8.322,CHoCH多信号开仓,CHoCH空信号平仓,0.014613730759833745
short,2025-10-03 07:30:00,8.322,2025-10-03 19:30:00,8.788,CHoCH空信号开仓,CHoCH多信号平仓,-0.05799615477048792
long,2025-10-03 19:30:00,8.788,2025-10-04 08:30:00,8.636,CHoCH多信号开仓,CHoCH空信号平仓,-0.01929631315430147
short,2025-10-04 08:30:00,8.636,2025-10-05 03:00:00,8.471,CHoCH空信号开仓,CHoCH多信号平仓,0.01710606762389988
long,2025-10-05 03:00:00,8.471,2025-10-05 18:00:00,8.312,CHoCH多信号开仓,CHoCH空信号平仓,-0.020769920906622663
short,2025-10-05 18:00:00,8.312,2025-10-06 11:30:00,8.389,CHoCH空信号开仓,CHoCH多信号平仓,-0.011263715110683357
long,2025-10-06 11:30:00,8.389,2025-10-07 15:00:00,8.246,CHoCH多信号开仓,CHoCH空信号平仓,-0.01904613183931325
short,2025-10-07 15:00:00,8.246,2025-10-08 14:30:00,8.074,CHoCH空信号开仓,CHoCH多信号平仓,0.018858598108173696
long,2025-10-08 14:30:00,8.074,2025-10-09 08:30:00,7.856,CHoCH多信号开仓,CHoCH空信号平仓,-0.029000247708694582
short,2025-10-09 08:30:00,7.856,2025-10-10 03:30:00,8.052,CHoCH空信号开仓,CHoCH多信号平仓,-0.026949083503055027
long,2025-10-10 03:30:00,8.052,2025-10-10 15:00:00,7.891,CHoCH多信号开仓,CHoCH空信号平仓,-0.021995032290114236
short,2025-10-10 15:00:00,7.891,2025-10-12 04:30:00,5.05,CHoCH空信号开仓,CHoCH多信号平仓,0.3580304143961476
long,2025-10-12 04:30:00,5.05,2025-10-13 11:30:00,5.395,CHoCH多信号开仓,CHoCH空信号平仓,0.06631683168316838
short,2025-10-13 11:30:00,5.395,2025-10-13 16:00:00,5.683,CHoCH空信号开仓,CHoCH多信号平仓,-0.05538276181649682
long,2025-10-13 16:00:00,5.683,2025-10-14 10:30:00,5.357,CHoCH多信号开仓,CHoCH空信号平仓,-0.05936406827379903
short,2025-10-14 10:30:00,5.357,2025-10-15 08:30:00,5.726,CHoCH空信号开仓,CHoCH多信号平仓,-0.07088183684898253
long,2025-10-15 08:30:00,5.726,2025-10-15 12:30:00,5.545,CHoCH多信号开仓,CHoCH空信号平仓,-0.03361019909186169
short,2025-10-15 12:30:00,5.545,2025-10-16 06:30:00,5.424,CHoCH空信号开仓,CHoCH多信号平仓,0.01982146077547331
long,2025-10-16 06:30:00,5.424,2025-10-16 21:00:00,5.049,CHoCH多信号开仓,CHoCH空信号平仓,-0.07113716814159288
short,2025-10-16 21:00:00,5.049,2025-10-18 01:30:00,5.051,CHoCH空信号开仓,CHoCH多信号平仓,-0.002396118043176852
long,2025-10-18 01:30:00,5.051,2025-10-18 14:30:00,4.984,CHoCH多信号开仓,CHoCH空信号平仓,-0.015264700059394174
short,2025-10-18 14:30:00,4.984,2025-10-19 04:00:00,5.084,CHoCH空信号开仓,CHoCH多信号平仓,-0.022064205457463792
long,2025-10-19 04:00:00,5.084,2025-10-19 09:30:00,4.995,CHoCH多信号开仓,CHoCH空信号平仓,-0.019505900865460224
short,2025-10-19 09:30:00,4.995,2025-10-19 10:00:00,5.108,CHoCH空信号开仓,CHoCH多信号平仓,-0.024622622622622492
long,2025-10-19 10:00:00,5.108,2025-10-21 04:00:00,5.204,CHoCH多信号开仓,CHoCH空信号平仓,0.016794048551292073
