side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
long,2025-06-03 10:20:00,9.086,2025-06-06 21:40:00,8.098,一买信号开仓,一卖信号平仓,-0.11073871890821041
short,2025-06-06 21:40:00,8.098,2025-06-10 09:00:00,9.179,一卖信号开仓,一买信号平仓,-0.13548975055569268
long,2025-06-10 09:00:00,9.179,2025-06-11 18:20:00,9.448,一买信号开仓,一卖信号平仓,0.027306024621418512
short,2025-06-11 18:20:00,9.448,2025-06-12 11:00:00,8.698,一卖信号开仓,一买信号平仓,0.07738187976291278
long,2025-06-12 11:00:00,8.698,2025-06-13 20:20:00,7.838,一买信号开仓,一卖信号平仓,-0.10087330420786389
short,2025-06-13 20:20:00,7.838,2025-06-13 20:20:00,7.838,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-13 20:20:00,7.838,2025-06-17 07:40:00,7.965,一买信号开仓,一卖信号平仓,0.01420311303904054
short,2025-06-17 07:40:00,7.965,2025-06-18 00:20:00,7.624,一卖信号开仓,一买信号平仓,0.04081230382925305
long,2025-06-18 00:20:00,7.624,2025-06-21 11:40:00,7.285,一买信号开仓,一卖信号平仓,-0.04646484784889815
short,2025-06-21 11:40:00,7.285,2025-06-22 21:00:00,6.455,一卖信号开仓,一买信号平仓,0.11193273850377483
long,2025-06-22 21:00:00,6.455,2025-06-22 21:00:00,6.455,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-22 21:00:00,6.455,2025-06-24 23:00:00,7.449,一卖信号开仓,一买信号平仓,-0.1559891556932611
long,2025-06-24 23:00:00,7.449,2025-06-26 08:20:00,7.253,一买信号开仓,一卖信号平仓,-0.028312256678748815
short,2025-06-26 08:20:00,7.253,2025-06-27 17:40:00,7.004,一卖信号开仓,一买信号平仓,0.03233062181166424
long,2025-06-27 17:40:00,7.004,2025-06-28 10:20:00,7.064,一买信号开仓,一卖信号平仓,0.006566533409480437
short,2025-06-28 10:20:00,7.064,2025-06-28 10:20:00,7.064,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-28 10:20:00,7.064,2025-07-01 05:00:00,7.222,一买信号开仓,一卖信号平仓,0.02036693091732733
short,2025-07-01 05:00:00,7.222,2025-07-05 09:00:00,7.41,一卖信号开仓,一买信号平仓,-0.028031570202160072
long,2025-07-05 09:00:00,7.41,2025-07-06 01:40:00,7.375,一买信号开仓,一卖信号平仓,-0.006723346828609976
short,2025-07-06 01:40:00,7.375,2025-07-10 22:20:00,9.719,一卖信号开仓,一买信号平仓,-0.3198305084745763
long,2025-07-10 22:20:00,9.719,2025-07-12 07:40:00,9.343,一买信号开仓,一卖信号平仓,-0.040687107727132354
short,2025-07-12 07:40:00,9.343,2025-07-15 02:20:00,9.151,一卖信号开仓,一买信号平仓,0.01855014449320347
long,2025-07-15 02:20:00,9.151,2025-07-16 11:40:00,9.735,一买信号开仓,一卖信号平仓,0.06181816194951373
short,2025-07-16 11:40:00,9.735,2025-07-16 11:40:00,9.735,一卖信号开仓,一买信号平仓,-0.002
long,2025-07-16 11:40:00,9.735,2025-07-16 11:40:00,9.735,一买信号开仓,一卖信号平仓,-0.002
short,2025-07-16 11:40:00,9.735,2025-07-17 21:00:00,10.061,一卖信号开仓,一买信号平仓,-0.03548741653826415
long,2025-07-17 21:00:00,10.061,2025-07-17 21:00:00,10.061,一买信号开仓,一卖信号平仓,-0.002
short,2025-07-17 21:00:00,10.061,2025-07-18 13:40:00,11.221,一卖信号开仓,一买信号平仓,-0.11729669018984201
long,2025-07-18 13:40:00,11.221,2025-07-19 06:20:00,10.439,一买信号开仓,一卖信号平仓,-0.07169075839942962
short,2025-07-19 06:20:00,10.439,2025-07-19 23:00:00,10.513,一卖信号开仓,一买信号平仓,-0.009088801609349549
long,2025-07-19 23:00:00,10.513,2025-07-19 23:00:00,10.513,一买信号开仓,一卖信号平仓,-0.002
short,2025-07-19 23:00:00,10.513,2025-07-21 08:20:00,11.347,一卖信号开仓,一买信号平仓,-0.081330352896414
long,2025-07-21 08:20:00,11.347,2025-07-22 01:00:00,11.488,一买信号开仓,一卖信号平仓,0.010426191945007492
short,2025-07-22 01:00:00,11.488,2025-07-22 01:00:00,11.488,一卖信号开仓,一买信号平仓,-0.002
long,2025-07-22 01:00:00,11.488,2025-07-26 21:40:00,10.24,一买信号开仓,一卖信号平仓,-0.11063509749303613
short,2025-07-26 21:40:00,10.24,2025-07-27 14:20:00,10.685,一卖信号开仓,二买信号平仓,-0.04545703125
long,2025-07-27 14:20:00,10.685,2025-07-27 14:20:00,10.685,二买信号开仓,一卖信号平仓,-0.002
short,2025-07-27 14:20:00,10.685,2025-07-27 14:20:00,10.685,一卖信号开仓,一买信号平仓,-0.002
long,2025-07-27 14:20:00,10.685,2025-07-28 07:00:00,11.757,一买信号开仓,一卖信号平仓,0.09832756200280768
short,2025-07-28 07:00:00,11.757,2025-07-29 16:20:00,10.1,一卖信号开仓,一买信号平仓,0.13893731394063114
long,2025-07-29 16:20:00,10.1,2025-07-30 09:00:00,10.035,一买信号开仓,一卖信号平仓,-0.008435643564356441
short,2025-07-30 09:00:00,10.035,2025-07-31 18:20:00,9.582,一卖信号开仓,一买信号平仓,0.04314200298953652
long,2025-07-31 18:20:00,9.582,2025-08-03 13:00:00,8.788,一买信号开仓,一卖信号平仓,-0.0848637027760385
short,2025-08-03 13:00:00,8.788,2025-08-04 05:40:00,8.918,一卖信号开仓,一买信号平仓,-0.01679289940828399
long,2025-08-04 05:40:00,8.918,2025-08-05 15:00:00,8.943,一买信号开仓,一卖信号平仓,0.0008033191298497683
short,2025-08-05 15:00:00,8.943,2025-08-06 07:40:00,8.987,一卖信号开仓,一买信号平仓,-0.00692004920049216
long,2025-08-06 07:40:00,8.987,2025-08-09 02:20:00,9.837,一买信号开仓,二卖信号平仓,0.09258106153332579
short,2025-08-09 02:20:00,9.837,2025-08-09 02:20:00,9.837,二卖信号开仓,一买信号平仓,-0.002
long,2025-08-09 02:20:00,9.837,2025-08-09 19:00:00,10.556,一买信号开仓,一卖信号平仓,0.07109138965131634
short,2025-08-09 19:00:00,10.556,2025-08-11 21:00:00,9.864,一卖信号开仓,一买信号平仓,0.06355513452065165
long,2025-08-11 21:00:00,9.864,2025-08-12 13:40:00,9.807,一买信号开仓,一卖信号平仓,-0.007778588807785923
short,2025-08-12 13:40:00,9.807,2025-08-17 10:20:00,9.367,一卖信号开仓,一买信号平仓,0.04286591210359947
long,2025-08-17 10:20:00,9.367,2025-08-17 10:20:00,9.367,一买信号开仓,一卖信号平仓,-0.002
short,2025-08-17 10:20:00,9.367,2025-08-18 19:40:00,8.963,一卖信号开仓,一买信号平仓,0.041130137717519166
long,2025-08-18 19:40:00,8.963,2025-08-23 16:20:00,9.954,一买信号开仓,一卖信号平仓,0.10856565881959179
short,2025-08-23 16:20:00,9.954,2025-08-25 18:20:00,8.696,一卖信号开仓,一买信号平仓,0.12438135422945562
long,2025-08-25 18:20:00,8.696,2025-08-30 15:00:00,8.799,一买信号开仓,一卖信号平仓,0.009844526218951268
short,2025-08-30 15:00:00,8.799,2025-09-01 00:20:00,8.601,一卖信号开仓,一买信号平仓,0.020502557108762254
long,2025-09-01 00:20:00,8.601,2025-09-01 17:00:00,8.405,一买信号开仓,一卖信号平仓,-0.024788047901406984
short,2025-09-01 17:00:00,8.405,2025-09-02 09:40:00,8.504,一卖信号开仓,一买信号平仓,-0.013778703152885317
long,2025-09-02 09:40:00,8.504,2025-09-02 09:40:00,8.504,一买信号开仓,一卖信号平仓,-0.002
short,2025-09-02 09:40:00,8.504,2025-09-02 09:40:00,8.504,一卖信号开仓,一买信号平仓,-0.002
long,2025-09-02 09:40:00,8.504,2025-09-03 02:20:00,8.669,一买信号开仓,一卖信号平仓,0.01740263405456277
short,2025-09-03 02:20:00,8.669,2025-09-06 13:40:00,8.763,一卖信号开仓,一买信号平仓,-0.012843234513784772
long,2025-09-06 13:40:00,8.763,2025-09-09 08:20:00,9.469,一买信号开仓,一卖信号平仓,0.0785660162044961
short,2025-09-09 08:20:00,9.469,2025-09-09 08:20:00,9.469,一卖信号开仓,一买信号平仓,-0.002
long,2025-09-09 08:20:00,9.469,2025-09-10 01:00:00,9.388,一买信号开仓,一卖信号平仓,-0.010554229591297924
short,2025-09-10 01:00:00,9.388,2025-09-12 19:40:00,10.225,一卖信号开仓,二买信号平仓,-0.09115636983383046
long,2025-09-12 19:40:00,10.225,2025-09-14 05:00:00,10.191,二买信号开仓,一卖信号平仓,-0.005325183374083052
short,2025-09-14 05:00:00,10.191,2025-09-17 16:20:00,9.571,一卖信号开仓,一买信号平仓,0.058837994308703845
long,2025-09-17 16:20:00,9.571,2025-09-20 11:00:00,9.909,一买信号开仓,一卖信号平仓,0.033315014105109286
short,2025-09-20 11:00:00,9.909,2025-09-21 03:40:00,10.085,一卖信号开仓,一买信号平仓,-0.019761630840649858
long,2025-09-21 03:40:00,10.085,2025-09-21 20:20:00,9.953,一买信号开仓,一卖信号平仓,-0.015088745661874235
short,2025-09-21 20:20:00,9.953,2025-09-23 05:40:00,8.606,一卖信号开仓,一买信号平仓,0.13333607957399773
long,2025-09-23 05:40:00,8.606,2025-09-24 15:00:00,8.567,一买信号开仓,一卖信号平仓,-0.0065317220543806825
short,2025-09-24 15:00:00,8.567,2025-09-25 07:40:00,8.186,一卖信号开仓,一买信号平仓,0.042472977705147685
long,2025-09-25 07:40:00,8.186,2025-09-28 02:20:00,7.957,一买信号开仓,一卖信号平仓,-0.02997459076472031
short,2025-09-28 02:20:00,7.957,2025-09-30 04:20:00,7.949,一卖信号开仓,一买信号平仓,-0.0009945959532486875
long,2025-09-30 04:20:00,7.949,2025-09-30 21:00:00,7.976,一买信号开仓,二卖信号平仓,0.0013966536671279357
short,2025-09-30 21:00:00,7.976,2025-10-02 06:20:00,8.34,二卖信号开仓,一买信号平仓,-0.04763691073219656
long,2025-10-02 06:20:00,8.34,2025-10-02 23:00:00,8.643,一买信号开仓,一卖信号平仓,0.034330935251798644
short,2025-10-02 23:00:00,8.643,2025-10-03 15:40:00,8.53,一卖信号开仓,二买信号平仓,0.011074164063404114
long,2025-10-03 15:40:00,8.53,2025-10-04 08:20:00,8.662,二买信号开仓,一卖信号平仓,0.013474794841735306
short,2025-10-04 08:20:00,8.662,2025-10-04 08:20:00,8.662,一卖信号开仓,一买信号平仓,-0.002
long,2025-10-04 08:20:00,8.662,2025-10-10 14:20:00,8.024,一买信号开仓,一卖信号平仓,-0.07565504502424403
short,2025-10-10 14:20:00,8.024,2025-10-11 23:40:00,4.939,一卖信号开仓,一买信号平仓,0.38247158524426716
long,2025-10-11 23:40:00,4.939,2026-04-22 08:20:00,4.518,一买信号开仓,一卖信号平仓,-0.08723992711075124
short,2026-04-22 08:20:00,4.518,2026-04-23 01:00:00,4.376,一卖信号开仓,一买信号平仓,0.0294298362107126
long,2026-04-23 01:00:00,4.376,2026-04-25 03:00:00,4.772,一买信号开仓,一卖信号平仓,0.08849360146252283
short,2026-04-25 03:00:00,4.772,2026-05-01 09:00:00,4.318,一卖信号开仓,一买信号平仓,0.0931383067896061
long,2026-05-01 09:00:00,4.318,2026-05-01 09:00:00,4.318,一买信号开仓,一卖信号平仓,-0.002
short,2026-05-01 09:00:00,4.318,2026-05-04 20:20:00,5.142,一卖信号开仓,一买信号平仓,-0.1928290875405283
long,2026-05-04 20:20:00,5.142,2026-05-06 22:20:00,5.416,一买信号开仓,一卖信号平仓,0.05128665888759243
short,2026-05-06 22:20:00,5.416,2026-05-09 17:00:00,5.523,一卖信号开仓,一买信号平仓,-0.02175627769571631
long,2026-05-09 17:00:00,5.523,2026-05-12 11:40:00,4.757,一买信号开仓,一卖信号平仓,-0.14069273945319571
short,2026-05-12 11:40:00,4.757,2026-05-13 04:20:00,4.761,一卖信号开仓,一买信号平仓,-0.002840866092074899
long,2026-05-13 04:20:00,4.761,2026-05-13 21:00:00,4.553,一买信号开仓,一卖信号平仓,-0.045688300777147695
short,2026-05-13 21:00:00,4.553,2026-05-14 13:40:00,4.589,一卖信号开仓,一买信号平仓,-0.009906874588183621
long,2026-05-14 13:40:00,4.589,2026-05-14 13:40:00,4.589,一买信号开仓,一卖信号平仓,-0.002
short,2026-05-14 13:40:00,4.589,2026-05-18 01:00:00,4.153,一卖信号开仓,一买信号平仓,0.09300980605796483
long,2026-05-18 01:00:00,4.153,2026-05-19 10:20:00,4.119,一买信号开仓,一卖信号平仓,-0.010186852877437922
short,2026-05-19 10:20:00,4.119,2026-05-20 03:00:00,4.047,一卖信号开仓,一买信号平仓,0.015479970866715266
long,2026-05-20 03:00:00,4.047,2026-05-20 03:00:00,4.047,一买信号开仓,一卖信号平仓,-0.002
short,2026-05-20 03:00:00,4.047,2026-05-22 05:00:00,4.34,一卖信号开仓,一买信号平仓,-0.0743993081294787
long,2026-05-22 05:00:00,4.34,2026-05-23 14:20:00,3.916,一买信号开仓,一卖信号平仓,-0.09969585253456215
short,2026-05-23 14:20:00,3.916,2026-05-24 07:00:00,4.05,一卖信号开仓,二买信号平仓,-0.03621859039836561
long,2026-05-24 07:00:00,4.05,2026-05-25 16:20:00,4.28,二买信号开仓,一卖信号平仓,0.05479012345679024
short,2026-05-25 16:20:00,4.28,2026-05-29 20:20:00,3.312,一卖信号开仓,一买信号平仓,0.22416822429906547
long,2026-05-29 20:20:00,3.312,2026-05-31 05:40:00,3.415,一买信号开仓,一卖信号平仓,0.0290990338164252
short,2026-05-31 05:40:00,3.415,2026-05-31 22:20:00,3.431,一卖信号开仓,一买信号平仓,-0.00668521229868224
long,2026-05-31 22:20:00,3.431,2026-05-31 23:55:00,3.452,一买信号开仓,回测结束强制平仓,0.004120664529291719
