side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
long,2025-06-01 08:45:00,8.611,2025-06-01 12:25:00,8.364,BOS多信号开仓,BOS空信号平仓,-0.030684241086981756
short,2025-06-01 12:25:00,8.364,2025-06-01 16:10:00,8.578,BOS空信号开仓,BOS多信号平仓,-0.02758584409373488
long,2025-06-01 16:10:00,8.578,2025-06-02 02:00:00,8.661,BOS多信号开仓,BOS空信号平仓,0.007675915131732271
short,2025-06-02 02:00:00,8.661,2025-06-02 11:55:00,8.489,BOS空信号开仓,BOS多信号平仓,0.017859138667590257
long,2025-06-02 11:55:00,8.489,2025-06-03 04:20:00,8.866,BOS多信号开仓,BOS空信号平仓,0.04241041347626329
short,2025-06-03 04:20:00,8.866,2025-06-03 07:05:00,9.074,BOS空信号开仓,BOS多信号平仓,-0.02546041055718473
long,2025-06-03 07:05:00,9.074,2025-06-03 21:25:00,8.993,BOS多信号开仓,BOS空信号平仓,-0.010926603482477313
short,2025-06-03 21:25:00,8.993,2025-06-04 14:50:00,8.954,BOS空信号开仓,BOS多信号平仓,0.002336706327143336
long,2025-06-04 14:50:00,8.954,2025-06-04 19:55:00,8.875,BOS多信号开仓,BOS空信号平仓,-0.010822872459236186
short,2025-06-04 19:55:00,8.875,2025-06-05 09:10:00,8.803,BOS空信号开仓,BOS多信号平仓,0.00611267605633792
long,2025-06-05 09:10:00,8.803,2025-06-05 11:50:00,8.629,BOS多信号开仓,BOS空信号平仓,-0.02176598886743175
short,2025-06-05 11:50:00,8.629,2025-06-06 06:15:00,8.231,BOS空信号开仓,BOS多信号平仓,0.04412353691041837
long,2025-06-06 06:15:00,8.231,2025-06-06 10:35:00,8.153,BOS多信号开仓,BOS空信号平仓,-0.01147636982140676
short,2025-06-06 10:35:00,8.153,2025-06-06 12:35:00,8.279,BOS空信号开仓,BOS多信号平仓,-0.017454433950693016
long,2025-06-06 12:35:00,8.279,2025-06-07 09:55:00,8.456,BOS多信号开仓,BOS空信号平仓,0.019379393646575593
short,2025-06-07 09:55:00,8.456,2025-06-07 12:30:00,8.558,BOS空信号开仓,BOS多信号平仓,-0.014062440870387992
long,2025-06-07 12:30:00,8.558,2025-06-07 17:35:00,8.457,BOS多信号开仓,BOS空信号平仓,-0.013801822855807331
short,2025-06-07 17:35:00,8.457,2025-06-07 22:35:00,8.555,BOS空信号开仓,BOS多信号平仓,-0.013588033581648283
long,2025-06-07 22:35:00,8.555,2025-06-08 00:10:00,8.46,BOS多信号开仓,BOS空信号平仓,-0.013104617182933874
short,2025-06-08 00:10:00,8.46,2025-06-08 13:50:00,8.448,BOS空信号开仓,BOS多信号平仓,-0.0005815602836879413
long,2025-06-08 13:50:00,8.448,2025-06-09 00:25:00,8.376,BOS多信号开仓,BOS空信号平仓,-0.010522727272727404
short,2025-06-09 00:25:00,8.376,2025-06-09 08:40:00,8.397,BOS空信号开仓,BOS多信号平仓,-0.004507163323782313
long,2025-06-09 08:40:00,8.397,2025-06-09 13:40:00,8.601,BOS多信号开仓,BOS空信号平仓,0.02229439085387641
short,2025-06-09 13:40:00,8.601,2025-06-09 16:20:00,8.798,BOS空信号开仓,BOS多信号平仓,-0.02490431345192401
long,2025-06-09 16:20:00,8.798,2025-06-10 03:05:00,9.07,BOS多信号开仓,BOS空信号平仓,0.028916117299386146
short,2025-06-10 03:05:00,9.07,2025-06-10 05:15:00,9.244,BOS空信号开仓,BOS多信号平仓,-0.021184123484013107
long,2025-06-10 05:15:00,9.244,2025-06-10 14:35:00,9.374,BOS多信号开仓,BOS空信号平仓,0.012063176114236242
short,2025-06-10 14:35:00,9.374,2025-06-10 22:05:00,9.511,BOS空信号开仓,BOS多信号平仓,-0.016614892255173652
long,2025-06-10 22:05:00,9.511,2025-06-11 10:00:00,9.366,BOS多信号开仓,BOS空信号平仓,-0.017245505204499967
short,2025-06-11 10:00:00,9.366,2025-06-11 14:20:00,9.626,BOS空信号开仓,BOS多信号平仓,-0.029759982916933492
long,2025-06-11 14:20:00,9.626,2025-06-11 20:05:00,9.352,BOS多信号开仓,BOS空信号平仓,-0.030464575109079517
short,2025-06-11 20:05:00,9.352,2025-06-13 13:40:00,7.626,BOS空信号开仓,BOS多信号平仓,0.18255945252352435
long,2025-06-13 13:40:00,7.626,2025-06-14 14:35:00,7.97,BOS多信号开仓,BOS空信号平仓,0.04310883818515587
short,2025-06-14 14:35:00,7.97,2025-06-15 04:05:00,7.985,BOS空信号开仓,BOS多信号平仓,-0.0038820577164366803
long,2025-06-15 04:05:00,7.985,2025-06-15 13:35:00,7.904,BOS多信号开仓,BOS空信号平仓,-0.012144020037570534
short,2025-06-15 13:35:00,7.904,2025-06-16 04:20:00,8.022,BOS空信号开仓,BOS多信号平仓,-0.016929149797570986
long,2025-06-16 04:20:00,8.022,2025-06-16 23:50:00,8.017,BOS多信号开仓,BOS空信号平仓,-0.002623285963600173
short,2025-06-16 23:50:00,8.017,2025-06-17 13:25:00,7.881,BOS空信号开仓,BOS多信号平仓,0.014963951602843808
long,2025-06-17 13:25:00,7.881,2025-06-17 16:35:00,7.537,BOS多信号开仓,BOS空信号平仓,-0.04564928308590288
short,2025-06-17 16:35:00,7.537,2025-06-18 04:10:00,7.684,BOS空信号开仓,BOS多信号平仓,-0.021503781345362905
