side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
short,2025-06-01 03:15:00,8.476,2025-06-01 07:20:00,8.605,看跌FVG信号开仓,看涨FVG信号平仓,-0.017219443133553503
long,2025-06-01 07:20:00,8.605,2025-06-01 09:25:00,8.507,看涨FVG信号开仓,看跌FVG信号平仓,-0.013388727484020977
short,2025-06-01 09:25:00,8.507,2025-06-01 11:25:00,8.457,看跌FVG信号开仓,看涨FVG信号平仓,0.003877512636652038
long,2025-06-01 11:25:00,8.457,2025-06-01 12:10:00,8.413,看涨FVG信号开仓,看跌FVG信号平仓,-0.007202790587678918
short,2025-06-01 12:10:00,8.413,2025-06-01 13:15:00,8.424,看跌FVG信号开仓,看涨FVG信号平仓,-0.003307500297158981
long,2025-06-01 13:15:00,8.424,2025-06-01 18:30:00,8.429,看涨FVG信号开仓,看跌FVG信号平仓,-0.0014064577397909766
short,2025-06-01 18:30:00,8.429,2025-06-01 19:05:00,8.454,看跌FVG信号开仓,看涨FVG信号平仓,-0.004965950883853319
long,2025-06-01 19:05:00,8.454,2025-06-01 22:35:00,8.72,看涨FVG信号开仓,看跌FVG信号平仓,0.029464395552401212
short,2025-06-01 22:35:00,8.72,2025-06-01 22:45:00,8.755,看跌FVG信号开仓,看涨FVG信号平仓,-0.006013761467889898
long,2025-06-01 22:45:00,8.755,2025-06-01 23:30:00,8.772,看涨FVG信号开仓,看跌FVG信号平仓,-5.825242718460015e-05
short,2025-06-01 23:30:00,8.772,2025-06-02 03:45:00,8.555,看跌FVG信号开仓,看涨FVG信号平仓,0.02273780209758325
long,2025-06-02 03:45:00,8.555,2025-06-02 05:45:00,8.387,看涨FVG信号开仓,看跌FVG信号平仓,-0.021637638807714743
short,2025-06-02 05:45:00,8.387,2025-06-02 14:35:00,8.703,看跌FVG信号开仓,看涨FVG信号平仓,-0.03967735781566706
long,2025-06-02 14:35:00,8.703,2025-06-02 18:45:00,8.676,看涨FVG信号开仓,看跌FVG信号平仓,-0.005102378490175695
short,2025-06-02 18:45:00,8.676,2025-06-02 20:10:00,8.7,看跌FVG信号开仓,看涨FVG信号平仓,-0.004766251728907321
long,2025-06-02 20:10:00,8.7,2025-06-03 02:20:00,9.03,看涨FVG信号开仓,看跌FVG信号平仓,0.035931034482758584
short,2025-06-03 02:20:00,9.03,2025-06-03 03:25:00,8.939,看跌FVG信号开仓,看涨FVG信号平仓,0.008077519379844912
long,2025-06-03 03:25:00,8.939,2025-06-03 04:15:00,8.879,看涨FVG信号开仓,看跌FVG信号平仓,-0.008712160196890138
short,2025-06-03 04:15:00,8.879,2025-06-03 06:05:00,9.045,看跌FVG信号开仓,看涨FVG信号平仓,-0.020695799076472676
long,2025-06-03 06:05:00,9.045,2025-06-03 06:15:00,8.986,看涨FVG信号开仓,看跌FVG信号平仓,-0.008522940851299008
short,2025-06-03 06:15:00,8.986,2025-06-03 09:45:00,9.139,看跌FVG信号开仓,看涨FVG信号平仓,-0.0190264856443354
long,2025-06-03 09:45:00,9.139,2025-06-03 13:40:00,9.136,看涨FVG信号开仓,看跌FVG信号平仓,-0.00232826348615822
short,2025-06-03 13:40:00,9.136,2025-06-03 19:30:00,9.248,看跌FVG信号开仓,看涨FVG信号平仓,-0.014259194395796813
long,2025-06-03 19:30:00,9.248,2025-06-03 20:20:00,9.072,看涨FVG信号开仓,看跌FVG信号平仓,-0.021031141868512182
short,2025-06-03 20:20:00,9.072,2025-06-03 20:45:00,9.085,看跌FVG信号开仓,看涨FVG信号平仓,-0.00343298059964736
long,2025-06-03 20:45:00,9.085,2025-06-03 21:25:00,8.993,看涨FVG信号开仓,看跌FVG信号平仓,-0.012126582278481067
short,2025-06-03 21:25:00,8.993,2025-06-04 03:20:00,9.14,看跌FVG信号开仓,看涨FVG信号平仓,-0.01834604692538644
long,2025-06-04 03:20:00,9.14,2025-06-04 03:55:00,9.054,看涨FVG信号开仓,看跌FVG信号平仓,-0.011409190371991283
short,2025-06-04 03:55:00,9.054,2025-06-04 04:10:00,9.093,看跌FVG信号开仓,看涨FVG信号平仓,-0.006307488402915727
long,2025-06-04 04:10:00,9.093,2025-06-04 04:30:00,8.979,看涨FVG信号开仓,看跌FVG信号平仓,-0.014537116463213538
short,2025-06-04 04:30:00,8.979,2025-06-04 08:25:00,9.006,看跌FVG信号开仓,看涨FVG信号平仓,-0.005007016371533666
long,2025-06-04 08:25:00,9.006,2025-06-04 09:15:00,8.899,看涨FVG信号开仓,看跌FVG信号平仓,-0.013880968243393464
short,2025-06-04 09:15:00,8.899,2025-06-04 12:15:00,8.844,看跌FVG信号开仓,看涨FVG信号平仓,0.004180469715698411
long,2025-06-04 12:15:00,8.844,2025-06-04 13:15:00,8.81,看涨FVG信号开仓,看跌FVG信号平仓,-0.005844414292175413
short,2025-06-04 13:15:00,8.81,2025-06-04 14:55:00,8.97,看跌FVG信号开仓,看涨FVG信号平仓,-0.02016118047673099
long,2025-06-04 14:55:00,8.97,2025-06-04 17:40:00,8.856,看涨FVG信号开仓,看跌FVG信号平仓,-0.014709030100334529
short,2025-06-04 17:40:00,8.856,2025-06-04 21:35:00,8.775,看跌FVG信号开仓,看涨FVG信号平仓,0.007146341463414531
long,2025-06-04 21:35:00,8.775,2025-06-04 22:30:00,8.718,看涨FVG信号开仓,看跌FVG信号平仓,-0.008495726495726495
short,2025-06-04 22:30:00,8.718,2025-06-05 00:40:00,8.762,看跌FVG信号开仓,看涨FVG信号平仓,-0.0070470291351227825
long,2025-06-05 00:40:00,8.762,2025-06-05 03:05:00,8.693,看涨FVG信号开仓,看跌FVG信号平仓,-0.009874914403104394
short,2025-06-05 03:05:00,8.693,2025-06-05 07:20:00,8.733,看跌FVG信号开仓,看涨FVG信号平仓,-0.006601403428045714
long,2025-06-05 07:20:00,8.733,2025-06-05 08:15:00,8.723,看涨FVG信号开仓,看跌FVG信号平仓,-0.003145081873353937
short,2025-06-05 08:15:00,8.723,2025-06-05 12:15:00,8.751,看跌FVG信号开仓,看涨FVG信号平仓,-0.005209904849248879
long,2025-06-05 12:15:00,8.751,2025-06-05 14:25:00,8.654,看涨FVG信号开仓,看跌FVG信号平仓,-0.013084447491715221
short,2025-06-05 14:25:00,8.654,2025-06-06 03:50:00,8.072,看跌FVG信号开仓,看涨FVG信号平仓,0.06525213773977356
long,2025-06-06 03:50:00,8.072,2025-06-06 11:40:00,8.173,看涨FVG信号开仓,看跌FVG信号平仓,0.010512388503468808
short,2025-06-06 11:40:00,8.173,2025-06-06 12:40:00,8.25,看跌FVG信号开仓,看涨FVG信号平仓,-0.011421265141319024
long,2025-06-06 12:40:00,8.25,2025-06-06 17:05:00,8.225,看涨FVG信号开仓,看跌FVG信号平仓,-0.00503030303030305
short,2025-06-06 17:05:00,8.225,2025-06-06 19:55:00,8.07,看跌FVG信号开仓,看涨FVG信号平仓,0.016844984802431573
long,2025-06-06 19:55:00,8.07,2025-06-06 22:10:00,7.999,看涨FVG信号开仓,看跌FVG信号平仓,-0.010798017348203291
short,2025-06-06 22:10:00,7.999,2025-06-07 00:45:00,8.179,看跌FVG信号开仓,看涨FVG信号平仓,-0.024502812851606492
long,2025-06-07 00:45:00,8.179,2025-06-07 08:55:00,8.482,看涨FVG信号开仓,看跌FVG信号平仓,0.03504609365448097
short,2025-06-07 08:55:00,8.482,2025-06-07 09:20:00,8.501,看跌FVG信号开仓,看涨FVG信号平仓,-0.0042400377269511385
long,2025-06-07 09:20:00,8.501,2025-06-07 11:10:00,8.535,看涨FVG信号开仓,看跌FVG信号平仓,0.0019995294671215653
short,2025-06-07 11:10:00,8.535,2025-06-07 12:45:00,8.58,看跌FVG信号开仓,看涨FVG信号平仓,-0.007272407732864748
long,2025-06-07 12:45:00,8.58,2025-06-07 12:55:00,8.554,看涨FVG信号开仓,看跌FVG信号平仓,-0.00503030303030305
short,2025-06-07 12:55:00,8.554,2025-06-07 22:40:00,8.55,看跌FVG信号开仓,看涨FVG信号平仓,-0.001532382511105988
long,2025-06-07 22:40:00,8.55,2025-06-07 23:45:00,8.494,看涨FVG信号开仓,看跌FVG信号平仓,-0.008549707602339305
short,2025-06-07 23:45:00,8.494,2025-06-08 00:35:00,8.484,看跌FVG信号开仓,看涨FVG信号平仓,-0.0008226983753237809
long,2025-06-08 00:35:00,8.484,2025-06-08 02:55:00,8.457,看涨FVG信号开仓,看跌FVG信号平仓,-0.005182461103253043
short,2025-06-08 02:55:00,8.457,2025-06-08 10:50:00,8.429,看跌FVG信号开仓,看涨FVG信号平仓,0.0013108667376138267
long,2025-06-08 10:50:00,8.429,2025-06-08 11:25:00,8.386,看涨FVG信号开仓,看跌FVG信号平仓,-0.007101435520227904
short,2025-06-08 11:25:00,8.386,2025-06-08 17:10:00,8.533,看跌FVG信号开仓,看涨FVG信号平仓,-0.019529215358931484
long,2025-06-08 17:10:00,8.533,2025-06-08 17:35:00,8.468,看涨FVG信号开仓,看跌FVG信号平仓,-0.009617485058010076
short,2025-06-08 17:35:00,8.468,2025-06-08 19:05:00,8.484,看跌FVG信号开仓,看涨FVG信号平仓,-0.0038894662257911144
long,2025-06-08 19:05:00,8.484,2025-06-08 19:45:00,8.463,看涨FVG信号开仓,看跌FVG信号平仓,-0.0044752475247525885
short,2025-06-08 19:45:00,8.463,2025-06-08 21:20:00,8.589,看跌FVG信号开仓,看涨FVG信号平仓,-0.016888337468982773
long,2025-06-08 21:20:00,8.589,2025-06-09 02:40:00,8.367,看涨FVG信号开仓,看跌FVG信号平仓,-0.027847013622074646
short,2025-06-09 02:40:00,8.367,2025-06-09 05:55:00,8.32,看跌FVG信号开仓,看涨FVG信号平仓,0.003617306083423035
long,2025-06-09 05:55:00,8.32,2025-06-09 07:30:00,8.32,看涨FVG信号开仓,看跌FVG信号平仓,-0.002
short,2025-06-09 07:30:00,8.32,2025-06-09 08:45:00,8.394,看跌FVG信号开仓,看涨FVG信号平仓,-0.010894230769230793
long,2025-06-09 08:45:00,8.394,2025-06-09 13:45:00,8.639,看涨FVG信号开仓,看跌FVG信号平仓,0.027187514891589215
short,2025-06-09 13:45:00,8.639,2025-06-09 14:20:00,8.63,看跌FVG信号开仓,看涨FVG信号平仓,-0.0009582127561061898
long,2025-06-09 14:20:00,8.63,2025-06-09 19:40:00,8.809,看涨FVG信号开仓,看跌FVG信号平仓,0.01874159907300088
short,2025-06-09 19:40:00,8.809,2025-06-09 21:15:00,8.93,看跌FVG信号开仓,看涨FVG信号平仓,-0.015735951867408282
long,2025-06-09 21:15:00,8.93,2025-06-10 03:10:00,9.074,看涨FVG信号开仓,看跌FVG信号平仓,0.014125419932810692
short,2025-06-10 03:10:00,9.074,2025-06-10 04:10:00,9.217,看跌FVG信号开仓,看涨FVG信号平仓,-0.017759312320916987
long,2025-06-10 04:10:00,9.217,2025-06-10 05:40:00,9.121,看涨FVG信号开仓,看跌FVG信号平仓,-0.012415536508625367
short,2025-06-10 05:40:00,9.121,2025-06-10 07:30:00,9.223,看跌FVG信号开仓,看涨FVG信号平仓,-0.013182984321894462
long,2025-06-10 07:30:00,9.223,2025-06-10 13:40:00,9.5,看涨FVG信号开仓,看跌FVG信号平仓,0.028033611623116128
short,2025-06-10 13:40:00,9.5,2025-06-10 18:50:00,9.492,看跌FVG信号开仓,看涨FVG信号平仓,-0.0011578947368422448
long,2025-06-10 18:50:00,9.492,2025-06-10 19:50:00,9.492,看涨FVG信号开仓,看跌FVG信号平仓,-0.002
short,2025-06-10 19:50:00,9.492,2025-06-10 22:10:00,9.545,看跌FVG信号开仓,看涨FVG信号平仓,-0.0075836493889589445
long,2025-06-10 22:10:00,9.545,2025-06-11 00:25:00,9.574,看涨FVG信号开仓,看跌FVG信号平仓,0.0010382399161865691
short,2025-06-11 00:25:00,9.574,2025-06-11 06:00:00,9.475,看跌FVG信号开仓,看涨FVG信号平仓,0.008340505535826217
long,2025-06-11 06:00:00,9.475,2025-06-11 07:35:00,9.519,看涨FVG信号开仓,看跌FVG信号平仓,0.002643799472295651
short,2025-06-11 07:35:00,9.519,2025-06-11 12:40:00,9.489,看跌FVG信号开仓,看涨FVG信号平仓,0.0011515915537345673
long,2025-06-11 12:40:00,9.489,2025-06-11 17:50:00,9.545,看涨FVG信号开仓,看跌FVG信号平仓,0.0039015702392242186
