side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
long,2025-06-01 01:15:00,8.642,2025-06-01 01:55:00,8.455,CHoCH多信号开仓,CHoCH空信号平仓,-0.023638509604258173
short,2025-06-01 01:55:00,8.455,2025-06-01 07:30:00,8.622,CHoCH空信号开仓,CHoCH多信号平仓,-0.021751626256652834
long,2025-06-01 07:30:00,8.622,2025-06-01 09:20:00,8.489,CHoCH多信号开仓,CHoCH空信号平仓,-0.017425655300394194
short,2025-06-01 09:20:00,8.489,2025-06-01 14:10:00,8.508,CHoCH空信号开仓,CHoCH多信号平仓,-0.004238190599599177
long,2025-06-01 14:10:00,8.508,2025-06-01 18:25:00,8.455,CHoCH多信号开仓,CHoCH空信号平仓,-0.008229431123648266
short,2025-06-01 18:25:00,8.455,2025-06-01 20:20:00,8.509,CHoCH空信号开仓,CHoCH多信号平仓,-0.008386753400354772
long,2025-06-01 20:20:00,8.509,2025-06-01 22:35:00,8.72,CHoCH多信号开仓,看跌OB信号平仓,0.022797273475144042
short,2025-06-01 22:35:00,8.72,2025-06-01 22:45:00,8.755,看跌OB信号开仓,看涨OB信号平仓,-0.006013761467889898
long,2025-06-01 22:45:00,8.755,2025-06-01 23:30:00,8.772,看涨OB信号开仓,看跌OB信号平仓,-5.825242718460015e-05
short,2025-06-01 23:30:00,8.772,2025-06-02 03:45:00,8.555,看跌OB信号开仓,看涨OB信号平仓,0.02273780209758325
long,2025-06-02 03:45:00,8.555,2025-06-02 08:40:00,8.503,看涨OB信号开仓,CHoCH空信号平仓,-0.008078316773816428
short,2025-06-02 08:40:00,8.503,2025-06-02 10:55:00,8.444,CHoCH空信号开仓,CHoCH多信号平仓,0.004938727507938336
long,2025-06-02 10:55:00,8.444,2025-06-02 18:45:00,8.676,CHoCH多信号开仓,看跌OB信号平仓,0.025475130270014024
short,2025-06-02 18:45:00,8.676,2025-06-02 20:25:00,8.794,看跌OB信号开仓,CHoCH多信号平仓,-0.01560073766712766
long,2025-06-02 20:25:00,8.794,2025-06-03 02:35:00,8.989,CHoCH多信号开仓,CHoCH空信号平仓,0.020174209688423872
short,2025-06-03 02:35:00,8.989,2025-06-03 03:25:00,8.939,CHoCH空信号开仓,看涨OB信号平仓,0.0035623539882079242
long,2025-06-03 03:25:00,8.939,2025-06-03 06:15:00,8.986,看涨OB信号开仓,看跌OB信号平仓,0.003257858820897354
short,2025-06-03 06:15:00,8.986,2025-06-04 00:55:00,9.011,看跌OB信号开仓,CHoCH多信号平仓,-0.004782105497440401
