side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
long,2025-06-01 01:15:00,8.642,2025-06-01 01:55:00,8.455,CHoCH多信号开仓,CHoCH空信号平仓,-0.023638509604258173
short,2025-06-01 01:55:00,8.455,2025-06-01 07:20:00,8.605,CHoCH空信号开仓,看涨FVG信号平仓,-0.01974098166765237
long,2025-06-01 07:20:00,8.605,2025-06-01 09:20:00,8.489,看涨FVG信号开仓,CHoCH空信号平仓,-0.015480534572922642
short,2025-06-01 09:20:00,8.489,2025-06-01 11:25:00,8.457,CHoCH空信号开仓,看涨FVG信号平仓,0.0017695841677465313
long,2025-06-01 11:25:00,8.457,2025-06-01 12:10:00,8.413,看涨FVG信号开仓,看跌FVG信号平仓,-0.007202790587678918
short,2025-06-01 12:10:00,8.413,2025-06-01 13:15:00,8.424,看跌FVG信号开仓,看涨FVG信号平仓,-0.003307500297158981
long,2025-06-01 13:15:00,8.424,2025-06-01 18:25:00,8.455,看涨FVG信号开仓,CHoCH空信号平仓,0.0016799620132954569
short,2025-06-01 18:25:00,8.455,2025-06-01 19:05:00,8.454,CHoCH空信号开仓,看涨FVG信号平仓,-0.00188172678888243
long,2025-06-01 19:05:00,8.454,2025-06-01 22:35:00,8.72,看涨FVG信号开仓,看跌FVG信号平仓,0.029464395552401212
short,2025-06-01 22:35:00,8.72,2025-06-01 22:45:00,8.755,看跌FVG信号开仓,看涨FVG信号平仓,-0.006013761467889898
long,2025-06-01 22:45:00,8.755,2025-06-01 23:30:00,8.772,看涨FVG信号开仓,看跌FVG信号平仓,-5.825242718460015e-05
short,2025-06-01 23:30:00,8.772,2025-06-02 03:45:00,8.555,看跌FVG信号开仓,看涨FVG信号平仓,0.02273780209758325
long,2025-06-02 03:45:00,8.555,2025-06-02 04:10:00,8.479,看涨FVG信号开仓,BOS空信号平仓,-0.010883693746347232
short,2025-06-02 04:10:00,8.479,2025-06-02 05:15:00,8.512,BOS空信号开仓,看涨FVG信号平仓,-0.005891968392499168
long,2025-06-02 05:15:00,8.512,2025-06-02 05:35:00,8.424,看涨FVG信号开仓,BOS空信号平仓,-0.012338345864661758
short,2025-06-02 05:35:00,8.424,2025-06-02 06:35:00,8.491,BOS空信号开仓,CHoCH多信号平仓,-0.009953466286799715
long,2025-06-02 06:35:00,8.491,2025-06-02 08:40:00,8.503,CHoCH多信号开仓,CHoCH空信号平仓,-0.0005867389000118167
short,2025-06-02 08:40:00,8.503,2025-06-02 10:55:00,8.444,CHoCH空信号开仓,CHoCH多信号平仓,0.004938727507938336
long,2025-06-02 10:55:00,8.444,2025-06-02 14:00:00,8.518,CHoCH多信号开仓,看跌FVG信号平仓,0.006763619137849288
short,2025-06-02 14:00:00,8.518,2025-06-02 14:30:00,8.653,看跌FVG信号开仓,BOS多信号平仓,-0.017848790795961467
long,2025-06-02 14:30:00,8.653,2025-06-02 18:45:00,8.676,BOS多信号开仓,看跌FVG信号平仓,0.0006580376747948886
short,2025-06-02 18:45:00,8.676,2025-06-02 20:10:00,8.7,看跌FVG信号开仓,看涨FVG信号平仓,-0.004766251728907321
long,2025-06-02 20:10:00,8.7,2025-06-03 02:20:00,9.03,看涨FVG信号开仓,看跌FVG信号平仓,0.035931034482758584
short,2025-06-03 02:20:00,9.03,2025-06-03 03:25:00,8.939,看跌FVG信号开仓,看涨FVG信号平仓,0.008077519379844912
long,2025-06-03 03:25:00,8.939,2025-06-03 04:15:00,8.879,看涨FVG信号开仓,看跌FVG信号平仓,-0.008712160196890138
