side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
long,2025-06-01 00:26:00,1.163e-05,2025-06-01 18:10:00,1.182e-05,看涨OB信号开仓,看跌OB信号平仓,0.014337059329320613
short,2025-06-01 18:10:00,1.182e-05,2025-06-02 04:44:00,1.161e-05,看跌OB信号开仓,看涨OB信号平仓,0.01576649746192893
long,2025-06-02 04:44:00,1.161e-05,2025-06-02 13:42:00,1.164e-05,看涨OB信号开仓,看跌OB信号平仓,0.0005839793281654532
short,2025-06-02 13:42:00,1.164e-05,2025-06-02 14:27:00,1.171e-05,看跌OB信号开仓,看涨OB信号平仓,-0.008013745704467333
long,2025-06-02 14:27:00,1.171e-05,2025-06-03 00:29:00,1.246e-05,看涨OB信号开仓,看跌OB信号平仓,0.062047822374039274
short,2025-06-03 00:29:00,1.246e-05,2025-06-03 01:21:00,1.259e-05,看跌OB信号开仓,看涨OB信号平仓,-0.012433386837881198
long,2025-06-03 01:21:00,1.259e-05,2025-06-03 04:33:00,1.254e-05,看涨OB信号开仓,看跌OB信号平仓,-0.005971405877680634
short,2025-06-03 04:33:00,1.254e-05,2025-06-03 13:17:00,1.28e-05,看跌OB信号开仓,看涨OB信号平仓,-0.022733652312599606
long,2025-06-03 13:17:00,1.28e-05,2025-06-03 15:03:00,1.281e-05,看涨OB信号开仓,看跌OB信号平仓,-0.0012187500000000445
short,2025-06-03 15:03:00,1.281e-05,2025-06-03 19:02:00,1.266e-05,看跌OB信号开仓,看涨OB信号平仓,0.009709601873536202
long,2025-06-03 19:02:00,1.266e-05,2025-06-03 20:16:00,1.265e-05,看涨OB信号开仓,看跌OB信号平仓,-0.0027898894154819703
short,2025-06-03 20:16:00,1.265e-05,2025-06-05 04:07:00,1.201e-05,看跌OB信号开仓,看涨OB信号平仓,0.048592885375494
long,2025-06-05 04:07:00,1.201e-05,2025-06-05 05:03:00,1.2e-05,看涨OB信号开仓,看跌OB信号平仓,-0.002832639467110763
