side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
long,2025-06-03 13:30:00,1.277e-05,2025-06-04 12:00:00,1.235e-05,BOS多信号开仓,BOS空信号平仓,-0.03488958496476113
short,2025-06-04 12:00:00,1.235e-05,2025-06-09 17:30:00,1.207e-05,BOS空信号开仓,BOS多信号平仓,0.02067206477732797
long,2025-06-09 17:30:00,1.207e-05,2025-06-12 11:30:00,1.219e-05,BOS多信号开仓,BOS空信号平仓,0.007942004971002616
short,2025-06-12 11:30:00,1.219e-05,2025-06-13 16:30:00,1.105e-05,BOS空信号开仓,BOS多信号平仓,0.09151927809680072
long,2025-06-13 16:30:00,1.105e-05,2025-06-17 15:00:00,1.005e-05,BOS多信号开仓,BOS空信号平仓,-0.09249773755656099
short,2025-06-17 15:00:00,1.005e-05,2025-06-19 00:30:00,1.044e-05,BOS空信号开仓,BOS多信号平仓,-0.0408059701492538
long,2025-06-19 00:30:00,1.044e-05,2025-06-20 01:30:00,1.016e-05,BOS多信号开仓,BOS空信号平仓,-0.028819923371647627
short,2025-06-20 01:30:00,1.016e-05,2025-06-23 13:00:00,9.07e-06,BOS空信号开仓,BOS多信号平仓,0.10528346456692916
long,2025-06-23 13:00:00,9.07e-06,2025-06-25 14:30:00,9.84e-06,BOS多信号开仓,BOS空信号平仓,0.08289525909592066
short,2025-06-25 14:30:00,9.84e-06,2025-06-28 18:00:00,9.51e-06,BOS空信号开仓,BOS多信号平仓,0.03153658536585369
long,2025-06-28 18:00:00,9.51e-06,2025-07-01 02:00:00,9.73e-06,BOS多信号开仓,BOS空信号平仓,0.021133543638275354
short,2025-07-01 02:00:00,9.73e-06,2025-07-02 11:00:00,9.58e-06,BOS空信号开仓,BOS多信号平仓,0.01341623843782125
long,2025-07-02 11:00:00,9.58e-06,2025-07-04 05:00:00,9.84e-06,BOS多信号开仓,BOS空信号平仓,0.02513987473903967
short,2025-07-04 05:00:00,9.84e-06,2025-07-06 22:30:00,1.024e-05,BOS空信号开仓,BOS多信号平仓,-0.04265040650406493
long,2025-07-06 22:30:00,1.024e-05,2025-07-07 21:00:00,9.8e-06,BOS多信号开仓,BOS空信号平仓,-0.04496875000000011
short,2025-07-07 21:00:00,9.8e-06,2025-07-08 17:30:00,1.023e-05,BOS空信号开仓,BOS多信号平仓,-0.04587755102040836
long,2025-07-08 17:30:00,1.023e-05,2025-07-12 13:30:00,1.193e-05,BOS多信号开仓,BOS空信号平仓,0.16417790811339183
short,2025-07-12 13:30:00,1.193e-05,2025-07-13 13:00:00,1.245e-05,BOS空信号开仓,BOS多信号平仓,-0.045587594300083856
long,2025-07-13 13:00:00,1.245e-05,2025-07-18 15:30:00,1.325e-05,BOS多信号开仓,BOS空信号平仓,0.06225702811244993
short,2025-07-18 15:30:00,1.325e-05,2025-07-20 09:00:00,1.389e-05,BOS空信号开仓,BOS多信号平仓,-0.050301886792452954
long,2025-07-20 09:00:00,1.389e-05,2025-07-22 08:30:00,1.352e-05,BOS多信号开仓,BOS空信号平仓,-0.028637868970482483
short,2025-07-22 08:30:00,1.352e-05,2025-07-26 08:30:00,1.267e-05,BOS空信号开仓,BOS多信号平仓,0.060869822485207004
long,2025-07-26 08:30:00,1.267e-05,2025-07-26 23:30:00,1.244e-05,BOS多信号开仓,BOS空信号平仓,-0.020153117600631543
short,2025-07-26 23:30:00,1.244e-05,2025-07-27 22:30:00,1.292e-05,BOS空信号开仓,BOS多信号平仓,-0.040585209003215494
long,2025-07-27 22:30:00,1.292e-05,2025-07-30 11:00:00,1.134e-05,BOS多信号开仓,BOS空信号平仓,-0.1242910216718266
short,2025-07-30 11:00:00,1.134e-05,2025-08-07 10:30:00,1.072e-05,BOS空信号开仓,BOS多信号平仓,0.05267372134038795
long,2025-08-07 10:30:00,1.072e-05,2025-08-11 20:00:00,1.143e-05,BOS多信号开仓,BOS空信号平仓,0.06423134328358215
short,2025-08-11 20:00:00,1.143e-05,2025-08-12 16:00:00,1.197e-05,BOS空信号开仓,BOS多信号平仓,-0.049244094488188894
