side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
short,2025-06-01 01:45:00,1.156e-05,2025-06-01 04:35:00,1.166e-05,CHoCH空信号开仓,CHoCH多信号平仓,-0.01065051903114189
long,2025-06-01 04:35:00,1.166e-05,2025-06-01 07:05:00,1.152e-05,CHoCH多信号开仓,CHoCH空信号平仓,-0.014006861063464824
short,2025-06-01 07:05:00,1.152e-05,2025-06-01 11:30:00,1.145e-05,CHoCH空信号开仓,CHoCH多信号平仓,0.0040763888888888395
long,2025-06-01 11:30:00,1.145e-05,2025-06-01 12:50:00,1.132e-05,CHoCH多信号开仓,CHoCH空信号平仓,-0.013353711790393017
short,2025-06-01 12:50:00,1.132e-05,2025-06-01 13:20:00,1.148e-05,CHoCH空信号开仓,CHoCH多信号平仓,-0.01613427561837466
long,2025-06-01 13:20:00,1.148e-05,2025-06-01 17:05:00,1.19e-05,CHoCH多信号开仓,看跌FVG信号平仓,0.03458536585365857
short,2025-06-01 17:05:00,1.19e-05,2025-06-01 17:40:00,1.199e-05,看跌FVG信号开仓,看涨FVG信号平仓,-0.009563025210084007
long,2025-06-01 17:40:00,1.199e-05,2025-06-01 18:10:00,1.182e-05,看涨FVG信号开仓,CHoCH空信号平仓,-0.016178482068390343
short,2025-06-01 18:10:00,1.182e-05,2025-06-01 20:40:00,1.182e-05,CHoCH空信号开仓,CHoCH多信号平仓,-0.002
long,2025-06-01 20:40:00,1.182e-05,2025-06-01 22:35:00,1.183e-05,CHoCH多信号开仓,看跌FVG信号平仓,-0.0011539763113366224
short,2025-06-01 22:35:00,1.183e-05,2025-06-02 01:15:00,1.186e-05,看跌FVG信号开仓,CHoCH多信号平仓,-0.004535925612848766
long,2025-06-02 01:15:00,1.186e-05,2025-06-02 02:00:00,1.169e-05,CHoCH多信号开仓,CHoCH空信号平仓,-0.016333895446880242
short,2025-06-02 02:00:00,1.169e-05,2025-06-02 05:15:00,1.159e-05,CHoCH空信号开仓,看涨FVG信号平仓,0.006554319931565413
long,2025-06-02 05:15:00,1.159e-05,2025-06-02 08:45:00,1.161e-05,看涨FVG信号开仓,CHoCH空信号平仓,-0.00027437446074207554
short,2025-06-02 08:45:00,1.161e-05,2025-06-02 10:15:00,1.152e-05,CHoCH空信号开仓,看涨FVG信号平仓,0.005751937984496249
long,2025-06-02 10:15:00,1.152e-05,2025-06-02 10:25:00,1.143e-05,看涨FVG信号开仓,看跌FVG信号平仓,-0.009812499999999889
short,2025-06-02 10:25:00,1.143e-05,2025-06-02 12:40:00,1.156e-05,看跌FVG信号开仓,CHoCH多信号平仓,-0.013373578302712017
long,2025-06-02 12:40:00,1.156e-05,2025-06-02 19:20:00,1.182e-05,CHoCH多信号开仓,看跌FVG信号平仓,0.020491349480968868
short,2025-06-02 19:20:00,1.182e-05,2025-06-02 20:15:00,1.203e-05,看跌FVG信号开仓,BOS多信号平仓,-0.019766497461928934
long,2025-06-02 20:15:00,1.203e-05,2025-06-03 07:30:00,1.256e-05,BOS多信号开仓,看跌FVG信号平仓,0.042056525353283414
short,2025-06-03 07:30:00,1.256e-05,2025-06-03 09:40:00,1.261e-05,看跌FVG信号开仓,CHoCH多信号平仓,-0.00598089171974525
long,2025-06-03 09:40:00,1.261e-05,2025-06-03 12:05:00,1.255e-05,CHoCH多信号开仓,CHoCH空信号平仓,-0.006758128469468659
short,2025-06-03 12:05:00,1.255e-05,2025-06-03 12:50:00,1.264e-05,CHoCH空信号开仓,CHoCH多信号平仓,-0.009171314741035717
long,2025-06-03 12:50:00,1.264e-05,2025-06-03 13:40:00,1.265e-05,CHoCH多信号开仓,看跌FVG信号平仓,-0.0012088607594937777
short,2025-06-03 13:40:00,1.265e-05,2025-06-03 15:00:00,1.29e-05,看跌FVG信号开仓,CHoCH多信号平仓,-0.02176284584980248
long,2025-06-03 15:00:00,1.29e-05,2025-06-03 20:20:00,1.255e-05,CHoCH多信号开仓,CHoCH空信号平仓,-0.029131782945736484
short,2025-06-03 20:20:00,1.255e-05,2025-06-04 01:00:00,1.23e-05,CHoCH空信号开仓,看涨FVG信号平仓,0.017920318725099582
long,2025-06-04 01:00:00,1.23e-05,2025-06-04 03:00:00,1.235e-05,看涨FVG信号开仓,CHoCH空信号平仓,0.0020650406504063596
short,2025-06-04 03:00:00,1.235e-05,2025-06-04 03:20:00,1.246e-05,CHoCH空信号开仓,CHoCH多信号平仓,-0.010906882591092957
long,2025-06-04 03:20:00,1.246e-05,2025-06-04 07:40:00,1.237e-05,CHoCH多信号开仓,CHoCH空信号平仓,-0.00922311396468689
short,2025-06-04 07:40:00,1.237e-05,2025-06-04 08:25:00,1.249e-05,CHoCH空信号开仓,CHoCH多信号平仓,-0.011700889248181133
long,2025-06-04 08:25:00,1.249e-05,2025-06-04 11:35:00,1.235e-05,CHoCH多信号开仓,CHoCH空信号平仓,-0.013208967173738982
short,2025-06-04 11:35:00,1.235e-05,2025-06-04 13:35:00,1.235e-05,CHoCH空信号开仓,CHoCH多信号平仓,-0.002
long,2025-06-04 13:35:00,1.235e-05,2025-06-04 14:05:00,1.223e-05,CHoCH多信号开仓,CHoCH空信号平仓,-0.011716599190283448
short,2025-06-04 14:05:00,1.223e-05,2025-06-04 14:55:00,1.241e-05,CHoCH空信号开仓,CHoCH多信号平仓,-0.016717906786590353
long,2025-06-04 14:55:00,1.241e-05,2025-06-04 17:10:00,1.243e-05,CHoCH多信号开仓,CHoCH空信号平仓,-0.00038839645447219344
short,2025-06-04 17:10:00,1.243e-05,2025-06-05 00:40:00,1.191e-05,CHoCH空信号开仓,看涨FVG信号平仓,0.03983427192276756
long,2025-06-05 00:40:00,1.191e-05,2025-06-05 03:00:00,1.193e-05,看涨FVG信号开仓,看跌FVG信号平仓,-0.0003207388748951417
short,2025-06-05 03:00:00,1.193e-05,2025-06-05 04:20:00,1.204e-05,看跌FVG信号开仓,BOS多信号平仓,-0.011220452640402499
long,2025-06-05 04:20:00,1.204e-05,2025-06-05 05:35:00,1.181e-05,BOS多信号开仓,CHoCH空信号平仓,-0.02110299003322258
short,2025-06-05 05:35:00,1.181e-05,2025-06-05 06:30:00,1.187e-05,CHoCH空信号开仓,看涨FVG信号平仓,-0.00708044030482635
long,2025-06-05 06:30:00,1.187e-05,2025-06-05 06:45:00,1.171e-05,看涨FVG信号开仓,看跌FVG信号平仓,-0.01547935973041281
short,2025-06-05 06:45:00,1.171e-05,2025-06-05 09:05:00,1.181e-05,看跌FVG信号开仓,CHoCH多信号平仓,-0.010539709649872052
long,2025-06-05 09:05:00,1.181e-05,2025-06-05 10:25:00,1.168e-05,CHoCH多信号开仓,CHoCH空信号平仓,-0.01300762066045724
short,2025-06-05 10:25:00,1.168e-05,2025-06-05 12:20:00,1.187e-05,CHoCH空信号开仓,CHoCH多信号平仓,-0.018267123287671216
long,2025-06-05 12:20:00,1.187e-05,2025-06-05 13:55:00,1.165e-05,CHoCH多信号开仓,看跌FVG信号平仓,-0.020534119629317615
short,2025-06-05 13:55:00,1.165e-05,2025-06-05 15:30:00,1.168e-05,看跌FVG信号开仓,CHoCH多信号平仓,-0.004575107296137302
long,2025-06-05 15:30:00,1.168e-05,2025-06-05 16:15:00,1.145e-05,CHoCH多信号开仓,看跌FVG信号平仓,-0.021691780821917805
short,2025-06-05 16:15:00,1.145e-05,2025-06-05 21:35:00,1.062e-05,看跌FVG信号开仓,CHoCH多信号平仓,0.07048908296943235
long,2025-06-05 21:35:00,1.062e-05,2025-06-05 23:25:00,1.069e-05,CHoCH多信号开仓,看跌FVG信号平仓,0.004591337099811634
short,2025-06-05 23:25:00,1.069e-05,2025-06-06 02:55:00,1.077e-05,看跌FVG信号开仓,CHoCH多信号平仓,-0.00948362956033688
long,2025-06-06 02:55:00,1.077e-05,2025-06-06 10:00:00,1.104e-05,CHoCH多信号开仓,CHoCH空信号平仓,0.0230696378830082
short,2025-06-06 10:00:00,1.104e-05,2025-06-06 10:15:00,1.114e-05,CHoCH空信号开仓,看涨FVG信号平仓,-0.011057971014492905
long,2025-06-06 10:15:00,1.114e-05,2025-06-06 10:40:00,1.106e-05,看涨FVG信号开仓,看跌FVG信号平仓,-0.009181328545780907
short,2025-06-06 10:40:00,1.106e-05,2025-06-06 12:35:00,1.12e-05,看跌FVG信号开仓,CHoCH多信号平仓,-0.014658227848101111
long,2025-06-06 12:35:00,1.12e-05,2025-06-06 16:45:00,1.119e-05,CHoCH多信号开仓,CHoCH空信号平仓,-0.0028928571428571397
short,2025-06-06 16:45:00,1.119e-05,2025-06-06 20:25:00,1.111e-05,CHoCH空信号开仓,CHoCH多信号平仓,0.005149240393208189
long,2025-06-06 20:25:00,1.111e-05,2025-06-06 22:10:00,1.105e-05,CHoCH多信号开仓,看跌FVG信号平仓,-0.007400540054005476
short,2025-06-06 22:10:00,1.105e-05,2025-06-07 00:45:00,1.114e-05,看跌FVG信号开仓,CHoCH多信号平仓,-0.010144796380090469
long,2025-06-07 00:45:00,1.114e-05,2025-06-07 08:10:00,1.15e-05,CHoCH多信号开仓,CHoCH空信号平仓,0.030315978456014303
short,2025-06-07 08:10:00,1.15e-05,2025-06-07 12:40:00,1.153e-05,CHoCH空信号开仓,CHoCH多信号平仓,-0.004608695652173809
long,2025-06-07 12:40:00,1.153e-05,2025-06-07 15:15:00,1.145e-05,CHoCH多信号开仓,CHoCH空信号平仓,-0.008938421509106618
short,2025-06-07 15:15:00,1.145e-05,2025-06-07 18:20:00,1.146e-05,CHoCH空信号开仓,CHoCH多信号平仓,-0.002873362445414916
long,2025-06-07 18:20:00,1.146e-05,2025-06-08 00:05:00,1.147e-05,CHoCH多信号开仓,CHoCH空信号平仓,-0.0011273996509599798
short,2025-06-08 00:05:00,1.147e-05,2025-06-08 01:35:00,1.152e-05,CHoCH空信号开仓,CHoCH多信号平仓,-0.0063591979075849885
long,2025-06-08 01:35:00,1.152e-05,2025-06-08 02:10:00,1.154e-05,CHoCH多信号开仓,看跌FVG信号平仓,-0.0002638888888888396
