side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
short,2025-06-01 13:20:00,52.0,2025-06-01 13:20:00,52.0,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-01 13:20:00,52.0,2025-06-02 06:00:00,52.56,一买信号开仓,三卖信号平仓,0.008769230769230864
short,2025-06-02 06:00:00,52.56,2025-06-02 14:20:00,53.4,三卖信号开仓,三买信号平仓,-0.01798173515981727
long,2025-06-02 14:20:00,53.4,2025-06-02 14:20:00,53.4,三买信号开仓,一卖信号平仓,-0.002
short,2025-06-02 14:20:00,53.4,2025-06-02 14:20:00,53.4,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-02 14:20:00,53.4,2025-06-02 22:40:00,54.14,一买信号开仓,一卖信号平仓,0.011857677902621823
short,2025-06-02 22:40:00,54.14,2025-06-02 22:40:00,54.14,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-02 22:40:00,54.14,2025-06-03 15:20:00,54.11,一买信号开仓,一卖信号平仓,-0.002554118950868099
short,2025-06-03 15:20:00,54.11,2025-06-03 15:20:00,54.11,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-03 15:20:00,54.11,2025-06-03 23:40:00,54.45,一买信号开仓,三卖信号平仓,0.004283496581038772
short,2025-06-03 23:40:00,54.45,2025-06-03 23:40:00,54.45,三卖信号开仓,三买信号平仓,-0.002
long,2025-06-03 23:40:00,54.45,2025-06-03 23:40:00,54.45,三买信号开仓,三卖信号平仓,-0.002
short,2025-06-03 23:40:00,54.45,2025-06-04 16:20:00,51.61,三卖信号开仓,一买信号平仓,0.05015794306703403
long,2025-06-04 16:20:00,51.61,2025-06-04 16:20:00,51.61,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-04 16:20:00,51.61,2025-06-05 09:00:00,50.1,一卖信号开仓,一买信号平仓,0.027257895756636286
long,2025-06-05 09:00:00,50.1,2025-06-05 17:20:00,49.68,一买信号开仓,一卖信号平仓,-0.010383233532934131
short,2025-06-05 17:20:00,49.68,2025-06-05 17:20:00,49.68,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-05 17:20:00,49.68,2025-06-05 17:20:00,49.68,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-05 17:20:00,49.68,2025-06-06 10:00:00,47.92,一卖信号开仓,一买信号平仓,0.033426731078904925
long,2025-06-06 10:00:00,47.92,2025-06-06 18:20:00,48.34,一买信号开仓,一卖信号平仓,0.006764607679465852
short,2025-06-06 18:20:00,48.34,2025-06-07 02:40:00,47.61,一卖信号开仓,一买信号平仓,0.013101365328920258
long,2025-06-07 02:40:00,47.61,2025-06-07 02:40:00,47.61,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-07 02:40:00,47.61,2025-06-07 19:20:00,50.1,一卖信号开仓,一买信号平仓,-0.05429993698802771
long,2025-06-07 19:20:00,50.1,2025-06-08 03:40:00,50.06,一买信号开仓,一卖信号平仓,-0.0027984031936127956
short,2025-06-08 03:40:00,50.06,2025-06-08 12:00:00,50.77,一卖信号开仓,一买信号平仓,-0.016182980423491866
long,2025-06-08 12:00:00,50.77,2025-06-08 20:20:00,48.87,一买信号开仓,一卖信号平仓,-0.039423675398857716
short,2025-06-08 20:20:00,48.87,2025-06-09 13:00:00,50.3,一卖信号开仓,三买信号平仓,-0.03126130550439932
long,2025-06-09 13:00:00,50.3,2025-06-09 21:20:00,50.04,三买信号开仓,三卖信号平仓,-0.007168986083498917
short,2025-06-09 21:20:00,50.04,2025-06-10 05:40:00,50.09,三卖信号开仓,一买信号平仓,-0.002999200639488551
long,2025-06-10 05:40:00,50.09,2025-06-10 05:40:00,50.09,一买信号开仓,三卖信号平仓,-0.002
short,2025-06-10 05:40:00,50.09,2025-06-10 14:00:00,51.44,三卖信号开仓,三买信号平仓,-0.028951487322818714
long,2025-06-10 14:00:00,51.44,2025-06-11 15:00:00,51.0,三买信号开仓,一卖信号平仓,-0.010553654743390315
short,2025-06-11 15:00:00,51.0,2025-06-11 15:00:00,51.0,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-11 15:00:00,51.0,2025-06-11 23:20:00,49.87,一买信号开仓,一卖信号平仓,-0.024156862745098096
short,2025-06-11 23:20:00,49.87,2025-06-12 16:00:00,49.84,一卖信号开仓,一买信号平仓,-0.0013984359334270318
long,2025-06-12 16:00:00,49.84,2025-06-13 00:20:00,46.91,一买信号开仓,一卖信号平仓,-0.060788121990369315
short,2025-06-13 00:20:00,46.91,2025-06-14 01:20:00,45.05,一卖信号开仓,三买信号平仓,0.03765039437220208
long,2025-06-14 01:20:00,45.05,2025-06-14 18:00:00,43.93,三买信号开仓,一卖信号平仓,-0.02686126526082122
short,2025-06-14 18:00:00,43.93,2025-06-15 02:20:00,44.44,一卖信号开仓,一买信号平仓,-0.01360937855679478
long,2025-06-15 02:20:00,44.44,2025-06-15 10:40:00,43.81,一买信号开仓,三卖信号平仓,-0.01617641764176403
