side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
long,2025-06-01 00:58:00,50.07,2025-06-01 01:25:00,49.98,看涨FVG信号开仓,看跌FVG信号平仓,-0.0037974835230677444
short,2025-06-01 01:25:00,49.98,2025-06-01 01:42:00,50.0,看跌FVG信号开仓,看涨FVG信号平仓,-0.0024001600640257675
long,2025-06-01 01:42:00,50.0,2025-06-01 02:06:00,49.92,看涨FVG信号开仓,看跌FVG信号平仓,-0.003599999999999935
short,2025-06-01 02:06:00,49.92,2025-06-01 02:17:00,49.87,看跌FVG信号开仓,看涨FVG信号平仓,-0.0009983974358973562
long,2025-06-01 02:17:00,49.87,2025-06-01 02:34:00,49.93,看涨FVG信号开仓,看跌FVG信号平仓,-0.0007968718668538415
short,2025-06-01 02:34:00,49.93,2025-06-01 02:44:00,49.99,看跌FVG信号开仓,看涨FVG信号平仓,-0.0032016823552973844
long,2025-06-01 02:44:00,49.99,2025-06-01 02:46:00,50.03,看涨FVG信号开仓,看跌FVG信号平仓,-0.0011998399679935528
short,2025-06-01 02:46:00,50.03,2025-06-01 02:51:00,50.07,看跌FVG信号开仓,看涨FVG信号平仓,-0.00279952028782726
long,2025-06-01 02:51:00,50.07,2025-06-01 03:02:00,49.99,看涨FVG信号开仓,看跌FVG信号平仓,-0.003597763131615748
short,2025-06-01 03:02:00,49.99,2025-06-01 03:28:00,49.75,看跌FVG信号开仓,看涨FVG信号平仓,0.0028009601920384614
long,2025-06-01 03:28:00,49.75,2025-06-01 03:44:00,49.77,看涨FVG信号开仓,看跌FVG信号平仓,-0.0015979899497486887
short,2025-06-01 03:44:00,49.77,2025-06-01 03:52:00,49.87,看跌FVG信号开仓,看涨FVG信号平仓,-0.004009242515571552
long,2025-06-01 03:52:00,49.87,2025-06-01 04:26:00,49.88,看涨FVG信号开仓,看跌FVG信号平仓,-0.0017994786444754923
short,2025-06-01 04:26:00,49.88,2025-06-01 04:32:00,49.92,看跌FVG信号开仓,看涨FVG信号平仓,-0.002801924619085792
long,2025-06-01 04:32:00,49.92,2025-06-01 04:45:00,50.0,看涨FVG信号开仓,看跌FVG信号平仓,-0.00039743589743590317
short,2025-06-01 04:45:00,50.0,2025-06-01 05:05:00,49.99,看跌FVG信号开仓,看涨FVG信号平仓,-0.001800000000000022
long,2025-06-01 05:05:00,49.99,2025-06-01 05:10:00,49.82,看涨FVG信号开仓,看跌FVG信号平仓,-0.005400680136027234
short,2025-06-01 05:10:00,49.82,2025-06-01 05:13:00,49.89,看跌FVG信号开仓,看涨FVG信号平仓,-0.0034050582095543885
long,2025-06-01 05:13:00,49.89,2025-06-01 05:19:00,49.81,看涨FVG信号开仓,看跌FVG信号平仓,-0.003603527761074308
short,2025-06-01 05:19:00,49.81,2025-06-01 05:26:00,49.87,看跌FVG信号开仓,看涨FVG信号平仓,-0.003204577394097406
long,2025-06-01 05:26:00,49.87,2025-06-01 05:50:00,51.3,看涨FVG信号开仓,看跌FVG信号平仓,0.02667455383998396
short,2025-06-01 05:50:00,51.3,2025-06-01 06:30:00,50.97,看跌FVG信号开仓,看涨FVG信号平仓,0.004432748538011679
long,2025-06-01 06:30:00,50.97,2025-06-01 06:42:00,50.7,看涨FVG信号开仓,看跌FVG信号平仓,-0.007297233666862744
short,2025-06-01 06:42:00,50.7,2025-06-01 07:01:00,50.33,看跌FVG信号开仓,看涨FVG信号平仓,0.005297830374753511
long,2025-06-01 07:01:00,50.33,2025-06-01 07:09:00,50.03,看涨FVG信号开仓,看跌FVG信号平仓,-0.007960659646334188
short,2025-06-01 07:09:00,50.03,2025-06-01 07:38:00,50.12,看跌FVG信号开仓,看涨FVG信号平仓,-0.003798920647611446
long,2025-06-01 07:38:00,50.12,2025-06-01 07:57:00,50.18,看涨FVG信号开仓,看跌FVG信号平仓,-0.0008028731045490716
short,2025-06-01 07:57:00,50.18,2025-06-01 08:08:00,50.08,看跌FVG信号开仓,看涨FVG信号平仓,-7.1741729772405866e-06
long,2025-06-01 08:08:00,50.08,2025-06-01 08:21:00,50.2,看涨FVG信号开仓,看跌FVG信号平仓,0.00039616613418536235
short,2025-06-01 08:21:00,50.2,2025-06-01 08:30:00,50.21,看跌FVG信号开仓,看涨FVG信号平仓,-0.0021992031872508627
long,2025-06-01 08:30:00,50.21,2025-06-01 09:05:00,49.88,看涨FVG信号开仓,看跌FVG信号平仓,-0.008572395937064268
short,2025-06-01 09:05:00,49.88,2025-06-01 09:46:00,49.5,看跌FVG信号开仓,看涨FVG信号平仓,0.005618283881315246
long,2025-06-01 09:46:00,49.5,2025-06-01 11:07:00,50.19,看涨FVG信号开仓,看跌FVG信号平仓,0.011939393939393918
short,2025-06-01 11:07:00,50.19,2025-06-01 11:10:00,50.27,看跌FVG信号开仓,看涨FVG信号平仓,-0.003593943016537258
long,2025-06-01 11:10:00,50.27,2025-06-01 12:38:00,51.45,看涨FVG信号开仓,看跌FVG信号平仓,0.021473244479808917
short,2025-06-01 12:38:00,51.45,2025-06-01 12:57:00,51.61,看跌FVG信号开仓,看涨FVG信号平仓,-0.00510981535471333
long,2025-06-01 12:57:00,51.61,2025-06-01 13:09:00,51.42,看涨FVG信号开仓,看跌FVG信号平仓,-0.005681457081960771
short,2025-06-01 13:09:00,51.42,2025-06-01 13:13:00,51.43,看跌FVG信号开仓,看涨FVG信号平仓,-0.0021944768572539335
long,2025-06-01 13:13:00,51.43,2025-06-01 14:08:00,52.13,看涨FVG信号开仓,看跌FVG信号平仓,0.011610733035193556
short,2025-06-01 14:08:00,52.13,2025-06-01 14:17:00,52.21,看跌FVG信号开仓,看涨FVG信号平仓,-0.003534624976021526
long,2025-06-01 14:17:00,52.21,2025-06-01 14:36:00,51.93,看涨FVG信号开仓,看跌FVG信号平仓,-0.007362957287875947
short,2025-06-01 14:36:00,51.93,2025-06-01 14:58:00,51.23,看跌FVG信号开仓,看涨FVG信号平仓,0.011479684190256136
long,2025-06-01 14:58:00,51.23,2025-06-01 15:21:00,50.94,看涨FVG信号开仓,看跌FVG信号平仓,-0.007660745656841715
short,2025-06-01 15:21:00,50.94,2025-06-01 16:10:00,50.99,看跌FVG信号开仓,看涨FVG信号平仓,-0.0029815469179428327
long,2025-06-01 16:10:00,50.99,2025-06-01 16:17:00,51.06,看涨FVG信号开仓,看跌FVG信号平仓,-0.0006271818003529255
short,2025-06-01 16:17:00,51.06,2025-06-01 16:32:00,50.89,看跌FVG信号开仓,看涨FVG信号平仓,0.0013294163728946335
long,2025-06-01 16:32:00,50.89,2025-06-01 16:55:00,51.31,看涨FVG信号开仓,看跌FVG信号平仓,0.006253094910591452
short,2025-06-01 16:55:00,51.31,2025-06-01 17:05:00,51.18,看跌FVG信号开仓,看涨FVG信号平仓,0.0005336191775482408
long,2025-06-01 17:05:00,51.18,2025-06-01 17:09:00,51.11,看涨FVG信号开仓,看跌FVG信号平仓,-0.0033677217663149444
short,2025-06-01 17:09:00,51.11,2025-06-01 17:15:00,51.16,看跌FVG信号开仓,看涨FVG信号平仓,-0.0029782821365680317
long,2025-06-01 17:15:00,51.16,2025-06-01 17:22:00,51.03,看涨FVG信号开仓,看跌FVG信号平仓,-0.00454104769351049
short,2025-06-01 17:22:00,51.03,2025-06-01 18:10:00,50.87,看跌FVG信号开仓,看涨FVG信号平仓,0.0011354105428180734
long,2025-06-01 18:10:00,50.87,2025-06-01 18:14:00,50.94,看涨FVG信号开仓,看跌FVG信号平仓,-0.0006239433850991887
short,2025-06-01 18:14:00,50.94,2025-06-01 18:37:00,50.46,看跌FVG信号开仓,看涨FVG信号平仓,0.007422850412249661
long,2025-06-01 18:37:00,50.46,2025-06-01 18:40:00,50.3,看涨FVG信号开仓,看跌FVG信号平仓,-0.005170828378914026
short,2025-06-01 18:40:00,50.3,2025-06-01 18:46:00,50.33,看跌FVG信号开仓,看涨FVG信号平仓,-0.002596421471172892
long,2025-06-01 18:46:00,50.33,2025-06-01 19:11:00,50.7,看涨FVG信号开仓,看跌FVG信号平仓,0.005351480230478824
short,2025-06-01 19:11:00,50.7,2025-06-01 19:13:00,50.67,看跌FVG信号开仓,看涨FVG信号平仓,-0.0014082840236686583
long,2025-06-01 19:13:00,50.67,2025-06-01 19:38:00,50.78,看涨FVG信号开仓,看跌FVG信号平仓,0.00017090980856515788
short,2025-06-01 19:38:00,50.78,2025-06-01 19:46:00,50.94,看跌FVG信号开仓,看涨FVG信号平仓,-0.005150846790074713
long,2025-06-01 19:46:00,50.94,2025-06-01 20:07:00,51.05,看涨FVG信号开仓,看跌FVG信号平仓,0.00015940321947383214
short,2025-06-01 20:07:00,51.05,2025-06-01 20:23:00,51.07,看跌FVG信号开仓,看涨FVG信号平仓,-0.0023917727717923647
long,2025-06-01 20:23:00,51.07,2025-06-01 20:29:00,51.06,看涨FVG信号开仓,看跌FVG信号平仓,-0.0021958096729978154
short,2025-06-01 20:29:00,51.06,2025-06-01 20:37:00,51.14,看跌FVG信号开仓,看涨FVG信号平仓,-0.0035667841754798407
long,2025-06-01 20:37:00,51.14,2025-06-01 20:44:00,51.18,看涨FVG信号开仓,看跌FVG信号平仓,-0.0012178333985139993
short,2025-06-01 20:44:00,51.18,2025-06-01 20:57:00,50.97,看跌FVG信号开仓,看涨FVG信号平仓,0.002103165298944944
long,2025-06-01 20:57:00,50.97,2025-06-01 20:59:00,50.91,看涨FVG信号开仓,看跌FVG信号平仓,-0.0031771630370807085
short,2025-06-01 20:59:00,50.91,2025-06-01 21:05:00,51.04,看跌FVG信号开仓,看涨FVG信号平仓,-0.004553525829895875
long,2025-06-01 21:05:00,51.04,2025-06-01 22:11:00,52.57,看涨FVG信号开仓,看跌FVG信号平仓,0.02797648902821326
short,2025-06-01 22:11:00,52.57,2025-06-01 22:19:00,52.8,看跌FVG信号开仓,看涨FVG信号平仓,-0.006375118889100138
long,2025-06-01 22:19:00,52.8,2025-06-01 22:39:00,52.78,看涨FVG信号开仓,看跌FVG信号平仓,-0.0023787878787877564
short,2025-06-01 22:39:00,52.78,2025-06-01 22:53:00,53.07,看跌FVG信号开仓,看涨FVG信号平仓,-0.007494505494505475
long,2025-06-01 22:53:00,53.07,2025-06-01 23:02:00,52.94,看涨FVG信号开仓,看跌FVG信号平仓,-0.004449594874693872
short,2025-06-01 23:02:00,52.94,2025-06-01 23:22:00,53.2,看跌FVG信号开仓,看涨FVG信号平仓,-0.006911220249338877
long,2025-06-01 23:22:00,53.2,2025-06-01 23:55:00,52.94,看涨FVG信号开仓,看跌FVG信号平仓,-0.006887218045112829
short,2025-06-01 23:55:00,52.94,2025-06-02 00:03:00,53.26,看跌FVG信号开仓,看涨FVG信号平仓,-0.00804457876841713
long,2025-06-02 00:03:00,53.26,2025-06-02 00:53:00,53.25,看涨FVG信号开仓,看跌FVG信号平仓,-0.0021877581674802898
short,2025-06-02 00:53:00,53.25,2025-06-02 01:15:00,53.06,看跌FVG信号开仓,看涨FVG信号平仓,0.0015680751173708946
long,2025-06-02 01:15:00,53.06,2025-06-02 01:32:00,52.93,看涨FVG信号开仓,看跌FVG信号平仓,-0.0044500565397663765
short,2025-06-02 01:32:00,52.93,2025-06-02 02:19:00,52.8,看跌FVG信号开仓,看涨FVG信号平仓,0.00045607406007941616
long,2025-06-02 02:19:00,52.8,2025-06-02 02:21:00,52.71,看涨FVG信号开仓,看跌FVG信号平仓,-0.0037045454545453476
short,2025-06-02 02:21:00,52.71,2025-06-02 02:35:00,52.86,看跌FVG信号开仓,看涨FVG信号平仓,-0.004845759817871274
long,2025-06-02 02:35:00,52.86,2025-06-02 02:49:00,52.81,看涨FVG信号开仓,看跌FVG信号平仓,-0.0029458948164963177
short,2025-06-02 02:49:00,52.81,2025-06-02 03:53:00,52.43,看跌FVG信号开仓,看涨FVG信号平仓,0.005195606892633988
long,2025-06-02 03:53:00,52.43,2025-06-02 03:56:00,52.41,看涨FVG信号开仓,看跌FVG信号平仓,-0.002381460995613203
short,2025-06-02 03:56:00,52.41,2025-06-02 03:58:00,52.49,看跌FVG信号开仓,看涨FVG信号平仓,-0.0035264262545315877
long,2025-06-02 03:58:00,52.49,2025-06-02 04:00:00,52.42,看涨FVG信号开仓,看跌FVG信号平仓,-0.0033335873499714657
short,2025-06-02 04:00:00,52.42,2025-06-02 04:32:00,52.29,看跌FVG信号开仓,看涨FVG信号平仓,0.0004799694772987823
long,2025-06-02 04:32:00,52.29,2025-06-02 04:41:00,52.2,看涨FVG信号开仓,看跌FVG信号平仓,-0.003721170395869165
