side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
short,2025-06-07 06:00:00,47.79,2025-06-18 17:00:00,41.46,一卖信号开仓,一买信号平仓,0.1304544883866917
long,2025-06-18 17:00:00,41.46,2025-06-21 20:00:00,39.73,一买信号开仓,三卖信号平仓,-0.043726965750120694
short,2025-06-21 20:00:00,39.73,2025-07-10 14:00:00,40.49,三卖信号开仓,三买信号平仓,-0.02112912157060176
long,2025-07-10 14:00:00,40.49,2025-07-23 02:00:00,44.0,三买信号开仓,二卖信号平仓,0.08468807112867371
short,2025-07-23 02:00:00,44.0,2025-07-23 02:00:00,44.0,二卖信号开仓,一买信号平仓,-0.002
long,2025-07-23 02:00:00,44.0,2025-08-04 14:00:00,36.74,一买信号开仓,一卖信号平仓,-0.16699999999999993
short,2025-08-04 14:00:00,36.74,2025-08-20 05:00:00,35.97,一卖信号开仓,一买信号平仓,0.018958083832335437
long,2025-08-20 05:00:00,35.97,2025-08-28 13:00:00,42.41,一买信号开仓,三卖信号平仓,0.17703808729496795
short,2025-08-28 13:00:00,42.41,2025-08-28 13:00:00,42.41,三卖信号开仓,一买信号平仓,-0.002
long,2025-08-28 13:00:00,42.41,2025-09-11 02:00:00,47.47,一买信号开仓,三卖信号平仓,0.11731148314076867
short,2025-09-11 02:00:00,47.47,2025-09-14 05:00:00,53.8,三卖信号开仓,三买信号平仓,-0.1353473772909206
long,2025-09-14 05:00:00,53.8,2025-09-22 13:00:00,47.65,三买信号开仓,一卖信号平仓,-0.11631226765799252
short,2025-09-22 13:00:00,47.65,2025-09-24 15:00:00,54.67,一卖信号开仓,三买信号平仓,-0.14932423924449112
long,2025-09-24 15:00:00,54.67,2025-09-27 18:00:00,54.57,三买信号开仓,三卖信号平仓,-0.003829156758734296
short,2025-09-27 18:00:00,54.57,2025-09-29 20:00:00,69.6,三卖信号开仓,三买信号平仓,-0.27742605827377664
long,2025-09-29 20:00:00,69.6,2025-09-29 20:00:00,69.6,三买信号开仓,一卖信号平仓,-0.002
short,2025-09-29 20:00:00,69.6,2025-10-05 01:00:00,162.74,一卖信号开仓,三买信号平仓,-1.340218390804598
long,2025-10-05 01:00:00,162.74,2025-10-08 04:00:00,134.42,三买信号开仓,一卖信号平仓,-0.1760199090573923
short,2025-10-08 04:00:00,134.42,2025-10-11 07:00:00,236.95,一卖信号开仓,三买信号平仓,-0.764758518077667
long,2025-10-11 07:00:00,236.95,2025-10-19 15:00:00,223.42,三买信号开仓,三卖信号平仓,-0.05910065414644439
short,2025-10-19 15:00:00,223.42,2025-10-19 15:00:00,223.42,三卖信号开仓,一买信号平仓,-0.002
long,2025-10-19 15:00:00,223.42,2025-10-21 17:00:00,288.19,一买信号开仓,一卖信号平仓,0.2879024259242682
short,2025-10-21 17:00:00,288.19,2025-10-22 18:00:00,242.25,一卖信号开仓,三买信号平仓,0.15740872341163814
