side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
short,2025-06-01 09:30:00,49.14,2025-06-01 12:00:00,52.15,CHoCH空信号开仓,看涨FVG信号平仓,-0.06325356125356119
long,2025-06-01 12:00:00,52.15,2025-06-01 15:30:00,50.88,看涨FVG信号开仓,看跌FVG信号平仓,-0.026352828379673898
short,2025-06-01 15:30:00,50.88,2025-06-01 21:30:00,52.78,看跌FVG信号开仓,BOS多信号平仓,-0.03934276729559749
long,2025-06-01 21:30:00,52.78,2025-06-03 09:30:00,53.05,BOS多信号开仓,看跌FVG信号平仓,0.003115574081091312
short,2025-06-03 09:30:00,53.05,2025-06-03 15:00:00,54.04,看跌FVG信号开仓,看涨FVG信号平仓,-0.02066163996229986
long,2025-06-03 15:00:00,54.04,2025-06-03 17:00:00,52.77,看涨FVG信号开仓,看跌FVG信号平仓,-0.025501110288674966
short,2025-06-03 17:00:00,52.77,2025-06-03 20:00:00,55.34,看跌FVG信号开仓,看涨FVG信号平仓,-0.050701913966268775
long,2025-06-03 20:00:00,55.34,2025-06-04 12:00:00,52.16,看涨FVG信号开仓,CHoCH空信号平仓,-0.05946295627032905
short,2025-06-04 12:00:00,52.16,2025-06-05 10:00:00,50.78,CHoCH空信号开仓,看涨FVG信号平仓,0.024457055214723855
long,2025-06-05 10:00:00,50.78,2025-06-05 14:00:00,48.75,看涨FVG信号开仓,CHoCH空信号平仓,-0.0419763686490745
short,2025-06-05 14:00:00,48.75,2025-06-06 06:00:00,48.28,CHoCH空信号开仓,看涨FVG信号平仓,0.007641025641025647
long,2025-06-06 06:00:00,48.28,2025-06-06 15:00:00,48.8,看涨FVG信号开仓,看跌FVG信号平仓,0.008770505385252704
short,2025-06-06 15:00:00,48.8,2025-06-07 07:00:00,48.2,看跌FVG信号开仓,看涨FVG信号平仓,0.010295081967212962
long,2025-06-07 07:00:00,48.2,2025-06-08 03:00:00,49.89,看涨FVG信号开仓,CHoCH空信号平仓,0.03306224066390029
short,2025-06-08 03:00:00,49.89,2025-06-09 04:00:00,49.25,CHoCH空信号开仓,看涨FVG信号平仓,0.01082822208859491
long,2025-06-09 04:00:00,49.25,2025-06-09 20:30:00,49.43,看涨FVG信号开仓,CHoCH空信号平仓,0.0016548223350254538
short,2025-06-09 20:30:00,49.43,2025-06-09 23:30:00,51.72,CHoCH空信号开仓,CHoCH多信号平仓,-0.048328140805179
long,2025-06-09 23:30:00,51.72,2025-06-10 14:00:00,51.44,CHoCH多信号开仓,看跌FVG信号平仓,-0.007413766434648082
short,2025-06-10 14:00:00,51.44,2025-06-10 15:30:00,52.42,看跌FVG信号开仓,看涨FVG信号平仓,-0.021051321928460487
long,2025-06-10 15:30:00,52.42,2025-06-11 00:30:00,51.4,看涨FVG信号开仓,CHoCH空信号平仓,-0.021458222052651688
short,2025-06-11 00:30:00,51.4,2025-06-11 13:00:00,50.55,CHoCH空信号开仓,看涨FVG信号平仓,0.0145369649805448
long,2025-06-11 13:00:00,50.55,2025-06-12 04:00:00,48.91,看涨FVG信号开仓,CHoCH空信号平仓,-0.034443125618199844
short,2025-06-12 04:00:00,48.91,2025-06-12 14:00:00,49.11,CHoCH空信号开仓,看涨FVG信号平仓,-0.006089143324473632
long,2025-06-12 14:00:00,49.11,2025-06-13 00:30:00,46.61,看涨FVG信号开仓,BOS空信号平仓,-0.052906129097943344
short,2025-06-13 00:30:00,46.61,2025-06-14 13:30:00,45.21,BOS空信号开仓,CHoCH多信号平仓,0.028036472859901296
long,2025-06-14 13:30:00,45.21,2025-06-14 14:30:00,44.09,CHoCH多信号开仓,看跌FVG信号平仓,-0.026773280247732734
short,2025-06-14 14:30:00,44.09,2025-06-14 23:30:00,44.21,看跌FVG信号开仓,CHoCH多信号平仓,-0.004721705602177327
long,2025-06-14 23:30:00,44.21,2025-06-15 16:30:00,43.7,CHoCH多信号开仓,看跌FVG信号平仓,-0.013535851617281101
short,2025-06-15 16:30:00,43.7,2025-06-16 07:00:00,43.86,看跌FVG信号开仓,CHoCH多信号平仓,-0.005661327231121225
long,2025-06-16 07:00:00,43.86,2025-06-16 23:00:00,43.58,CHoCH多信号开仓,CHoCH空信号平仓,-0.008383948928408545
short,2025-06-16 23:00:00,43.58,2025-06-18 05:30:00,41.73,CHoCH空信号开仓,CHoCH多信号平仓,0.04045066544286369
long,2025-06-18 05:30:00,41.73,2025-06-18 11:00:00,42.06,CHoCH多信号开仓,看跌FVG信号平仓,0.005907979870596771
short,2025-06-18 11:00:00,42.06,2025-06-18 14:30:00,43.04,看跌FVG信号开仓,BOS多信号平仓,-0.025300047551117366
long,2025-06-18 14:30:00,43.04,2025-06-18 15:30:00,41.96,BOS多信号开仓,看跌FVG信号平仓,-0.027092936802973977
short,2025-06-18 15:30:00,41.96,2025-06-19 10:30:00,41.77,看跌FVG信号开仓,看涨FVG信号平仓,0.0025281220209723027
long,2025-06-19 10:30:00,41.77,2025-06-19 13:00:00,41.35,看涨FVG信号开仓,BOS空信号平仓,-0.012055063442662271
short,2025-06-19 13:00:00,41.35,2025-06-20 08:00:00,41.9,BOS空信号开仓,看涨FVG信号平仓,-0.015301088270858408
long,2025-06-20 08:00:00,41.9,2025-06-20 15:00:00,40.82,看涨FVG信号开仓,CHoCH空信号平仓,-0.027775656324582343
short,2025-06-20 15:00:00,40.82,2025-06-21 00:30:00,40.44,CHoCH空信号开仓,CHoCH多信号平仓,0.007309162175404229
long,2025-06-21 00:30:00,40.44,2025-06-21 13:00:00,39.93,CHoCH多信号开仓,CHoCH空信号平仓,-0.0146112759643916
short,2025-06-21 13:00:00,39.93,2025-06-21 15:30:00,40.86,CHoCH空信号开仓,看涨FVG信号平仓,-0.025290758827948956
long,2025-06-21 15:30:00,40.86,2025-06-21 20:00:00,39.73,看涨FVG信号开仓,CHoCH空信号平仓,-0.029655408712677467
short,2025-06-21 20:00:00,39.73,2025-06-22 23:30:00,38.19,CHoCH空信号开仓,CHoCH多信号平仓,0.036761641077271534
long,2025-06-22 23:30:00,38.19,2025-06-23 08:30:00,38.46,CHoCH多信号开仓,看跌FVG信号平仓,0.0050699135899450205
short,2025-06-23 08:30:00,38.46,2025-06-23 13:00:00,38.95,看跌FVG信号开仓,CHoCH多信号平仓,-0.014740509620384977
long,2025-06-23 13:00:00,38.95,2025-06-23 17:00:00,38.2,CHoCH多信号开仓,看跌FVG信号平仓,-0.02125545571245191
short,2025-06-23 17:00:00,38.2,2025-06-23 18:30:00,39.81,看跌FVG信号开仓,看涨FVG信号平仓,-0.044146596858638754
long,2025-06-23 18:30:00,39.81,2025-06-25 06:00:00,42.08,看涨FVG信号开仓,CHoCH空信号平仓,0.05502084903290627
short,2025-06-25 06:00:00,42.08,2025-06-27 20:30:00,39.15,CHoCH空信号开仓,看涨FVG信号平仓,0.06762927756653991
long,2025-06-27 20:30:00,39.15,2025-06-28 00:30:00,38.16,看涨FVG信号开仓,BOS空信号平仓,-0.027287356321839096
short,2025-06-28 00:30:00,38.16,2025-06-28 12:30:00,38.0,BOS空信号开仓,看涨FVG信号平仓,0.0021928721174003813
long,2025-06-28 12:30:00,38.0,2025-06-29 13:00:00,39.56,看涨FVG信号开仓,看跌FVG信号平仓,0.03905263157894745
short,2025-06-29 13:00:00,39.56,2025-06-29 22:30:00,40.14,看跌FVG信号开仓,BOS多信号平仓,-0.016661274014155625
long,2025-06-29 22:30:00,40.14,2025-06-30 07:30:00,39.86,BOS多信号开仓,CHoCH空信号平仓,-0.008975585450921806
short,2025-06-30 07:30:00,39.86,2025-07-02 03:30:00,37.13,CHoCH空信号开仓,CHoCH多信号平仓,0.06648971399899639
long,2025-07-02 03:30:00,37.13,2025-07-03 09:00:00,39.18,CHoCH多信号开仓,看跌FVG信号平仓,0.05321141933746287
short,2025-07-03 09:00:00,39.18,2025-07-03 12:30:00,39.51,看跌FVG信号开仓,看涨FVG信号平仓,-0.010422664624808451
long,2025-07-03 12:30:00,39.51,2025-07-04 16:00:00,39.61,看涨FVG信号开仓,CHoCH空信号平仓,0.0005310048089091097
short,2025-07-04 16:00:00,39.61,2025-07-06 13:30:00,38.76,CHoCH空信号开仓,CHoCH多信号平仓,0.019459227467811147
long,2025-07-06 13:30:00,38.76,2025-07-07 07:00:00,38.94,CHoCH多信号开仓,CHoCH空信号平仓,0.002643962848297267
short,2025-07-07 07:00:00,38.94,2025-07-07 16:00:00,38.73,CHoCH空信号开仓,看涨FVG信号平仓,0.0033929121725732054
long,2025-07-07 16:00:00,38.73,2025-07-09 03:00:00,41.15,看涨FVG信号开仓,看跌FVG信号平仓,0.06048386263878136
short,2025-07-09 03:00:00,41.15,2025-07-09 23:30:00,40.78,看跌FVG信号开仓,CHoCH多信号平仓,0.006991494532199162
long,2025-07-09 23:30:00,40.78,2025-07-11 12:00:00,42.7,CHoCH多信号开仓,看跌FVG信号平仓,0.04508190289357539
short,2025-07-11 12:00:00,42.7,2025-07-11 18:00:00,43.58,看跌FVG信号开仓,看涨FVG信号平仓,-0.022608899297423823
long,2025-07-11 18:00:00,43.58,2025-07-11 22:30:00,41.46,看涨FVG信号开仓,CHoCH空信号平仓,-0.05064616796695731
short,2025-07-11 22:30:00,41.46,2025-07-12 01:30:00,42.61,CHoCH空信号开仓,看涨FVG信号平仓,-0.029737578388808528
long,2025-07-12 01:30:00,42.61,2025-07-12 13:00:00,41.66,看涨FVG信号开仓,看跌FVG信号平仓,-0.02429523586012683
short,2025-07-12 13:00:00,41.66,2025-07-12 14:30:00,42.05,看跌FVG信号开仓,看涨FVG信号平仓,-0.011361497839654342
long,2025-07-12 14:30:00,42.05,2025-07-12 16:00:00,40.74,看涨FVG信号开仓,看跌FVG信号平仓,-0.03315338882282981
short,2025-07-12 16:00:00,40.74,2025-07-13 05:00:00,42.82,看跌FVG信号开仓,看涨FVG信号平仓,-0.05305547373588615
