side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
long,2025-06-02 17:40:00,52.69,2025-06-02 17:40:00,52.69,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-02 17:40:00,52.69,2025-06-03 10:20:00,53.43,一卖信号开仓,三买信号平仓,-0.01604441070411844
long,2025-06-03 10:20:00,53.43,2025-06-04 03:00:00,53.77,三买信号开仓,三卖信号平仓,0.004363466217480962
short,2025-06-04 03:00:00,53.77,2025-06-04 19:40:00,50.51,三卖信号开仓,一买信号平仓,0.05862860331039621
long,2025-06-04 19:40:00,50.51,2025-06-08 07:00:00,49.75,一买信号开仓,一卖信号平仓,-0.017046525440506777
short,2025-06-08 07:00:00,49.75,2025-06-10 09:00:00,50.76,一卖信号开仓,一买信号平仓,-0.022301507537688448
long,2025-06-10 09:00:00,50.76,2025-06-11 01:40:00,50.74,一买信号开仓,一卖信号平仓,-0.0023940110323088497
short,2025-06-11 01:40:00,50.74,2025-06-11 18:20:00,50.27,一卖信号开仓,一买信号平仓,0.007262908947575865
long,2025-06-11 18:20:00,50.27,2025-06-12 11:00:00,48.14,一买信号开仓,一卖信号平仓,-0.0443711955440621
short,2025-06-12 11:00:00,48.14,2025-06-13 03:40:00,46.38,一卖信号开仓,一买信号平仓,0.03456003323639378
long,2025-06-13 03:40:00,46.38,2025-06-13 20:20:00,44.97,一买信号开仓,一卖信号平仓,-0.032401034928848715
short,2025-06-13 20:20:00,44.97,2025-06-15 05:40:00,44.48,一卖信号开仓,一买信号平仓,0.008896152990882868
long,2025-06-15 05:40:00,44.48,2025-06-15 22:20:00,43.52,一买信号开仓,一卖信号平仓,-0.023582733812949508
short,2025-06-15 22:20:00,43.52,2025-06-16 15:00:00,45.41,一卖信号开仓,一买信号平仓,-0.04542830882352922
long,2025-06-16 15:00:00,45.41,2025-06-17 07:40:00,42.19,一买信号开仓,一卖信号平仓,-0.0729094913014754
short,2025-06-17 07:40:00,42.19,2025-06-18 00:20:00,41.36,一卖信号开仓,一买信号平仓,0.017672908272102328
long,2025-06-18 00:20:00,41.36,2025-06-21 11:40:00,40.37,一买信号开仓,一卖信号平仓,-0.025936170212766063
