side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
short,2025-06-01 03:10:00,49.7,2025-06-01 05:40:00,50.75,BOS空信号开仓,BOS多信号平仓,-0.023126760563380255
long,2025-06-01 05:40:00,50.75,2025-06-02 03:15:00,52.42,BOS多信号开仓,BOS空信号平仓,0.03090640394088684
short,2025-06-02 03:15:00,52.42,2025-06-02 06:25:00,52.85,BOS空信号开仓,BOS多信号平仓,-0.010202975963372827
long,2025-06-02 06:25:00,52.85,2025-06-02 09:55:00,53.04,BOS多信号开仓,BOS空信号平仓,0.0015950804162723226
short,2025-06-02 09:55:00,53.04,2025-06-02 13:40:00,53.38,BOS空信号开仓,BOS多信号平仓,-0.008410256410256388
long,2025-06-02 13:40:00,53.38,2025-06-02 19:20:00,52.38,BOS多信号开仓,BOS空信号平仓,-0.020733608092918687
short,2025-06-02 19:20:00,52.38,2025-06-02 21:30:00,53.83,BOS空信号开仓,BOS多信号平仓,-0.029682321496754316
long,2025-06-02 21:30:00,53.83,2025-06-03 06:05:00,54.46,BOS多信号开仓,BOS空信号平仓,0.009703511053316129
short,2025-06-03 06:05:00,54.46,2025-06-03 14:00:00,53.37,BOS空信号开仓,BOS多信号平仓,0.018014689680499463
long,2025-06-03 14:00:00,53.37,2025-06-03 17:40:00,52.5,BOS多信号开仓,BOS空信号平仓,-0.018301292861157892
short,2025-06-03 17:40:00,52.5,2025-06-03 19:10:00,54.08,BOS空信号开仓,BOS多信号平仓,-0.032095238095237955
long,2025-06-03 19:10:00,54.08,2025-06-03 23:30:00,54.43,BOS多信号开仓,BOS空信号平仓,0.004471893491124314
short,2025-06-03 23:30:00,54.43,2025-06-04 13:40:00,52.58,BOS空信号开仓,BOS多信号平仓,0.03198860922285507
long,2025-06-04 13:40:00,52.58,2025-06-04 17:20:00,51.46,BOS多信号开仓,BOS空信号平仓,-0.02330087485736021
short,2025-06-04 17:20:00,51.46,2025-06-05 09:05:00,50.32,BOS空信号开仓,BOS多信号平仓,0.020153128643606744
long,2025-06-05 09:05:00,50.32,2025-06-05 13:40:00,49.25,BOS多信号开仓,BOS空信号平仓,-0.0232639109697933
short,2025-06-05 13:40:00,49.25,2025-06-06 04:40:00,47.83,BOS空信号开仓,BOS多信号平仓,0.026832487309644715
long,2025-06-06 04:40:00,47.83,2025-06-07 00:05:00,47.76,BOS多信号开仓,BOS空信号平仓,-0.0034635166213673445
short,2025-06-07 00:05:00,47.76,2025-06-07 10:55:00,48.49,BOS空信号开仓,BOS多信号平仓,-0.017284757118928074
long,2025-06-07 10:55:00,48.49,2025-06-07 16:35:00,48.45,BOS多信号开仓,BOS空信号平仓,-0.002824912353062479
short,2025-06-07 16:35:00,48.45,2025-06-07 18:35:00,50.27,BOS空信号开仓,BOS多信号平仓,-0.03956449948400409
long,2025-06-07 18:35:00,50.27,2025-06-07 23:05:00,50.05,BOS多信号开仓,BOS空信号平仓,-0.006376367614879806
short,2025-06-07 23:05:00,50.05,2025-06-08 04:35:00,50.3,BOS空信号开仓,BOS多信号平仓,-0.006995004995004937
long,2025-06-08 04:35:00,50.3,2025-06-08 17:55:00,49.84,BOS多信号开仓,BOS空信号平仓,-0.011145129224651938
short,2025-06-08 17:55:00,49.84,2025-06-09 03:20:00,49.08,BOS空信号开仓,BOS多信号平仓,0.013248796147672605
long,2025-06-09 03:20:00,49.08,2025-06-09 18:40:00,49.51,BOS多信号开仓,BOS空信号平仓,0.006761206193969029
short,2025-06-09 18:40:00,49.51,2025-06-09 23:00:00,50.37,BOS空信号开仓,BOS多信号平仓,-0.019370228236719855
long,2025-06-09 23:00:00,50.37,2025-06-10 03:15:00,50.78,BOS多信号开仓,BOS空信号平仓,0.006139765733571558
short,2025-06-10 03:15:00,50.78,2025-06-10 07:45:00,50.77,BOS空信号开仓,BOS多信号平仓,-0.0018030720756203582
long,2025-06-10 07:45:00,50.77,2025-06-11 00:30:00,51.4,BOS多信号开仓,BOS空信号平仓,0.010408902895410634
short,2025-06-11 00:30:00,51.4,2025-06-11 04:35:00,51.09,BOS空信号开仓,BOS多信号平仓,0.004031128404669128
long,2025-06-11 04:35:00,51.09,2025-06-11 06:40:00,50.79,BOS多信号开仓,BOS空信号平仓,-0.007871990604815136
short,2025-06-11 06:40:00,50.79,2025-06-11 13:15:00,50.8,BOS空信号开仓,BOS多信号平仓,-0.0021968891514076976
long,2025-06-11 13:15:00,50.8,2025-06-11 19:35:00,50.09,BOS多信号开仓,BOS空信号平仓,-0.01597637795275575
short,2025-06-11 19:35:00,50.09,2025-06-11 21:10:00,50.59,BOS空信号开仓,BOS多信号平仓,-0.011982032341784741
long,2025-06-11 21:10:00,50.59,2025-06-12 05:45:00,48.43,BOS多信号开仓,BOS空信号平仓,-0.04469618501680184
short,2025-06-12 05:45:00,48.43,2025-06-12 13:15:00,48.52,BOS空信号开仓,BOS多信号平仓,-0.0038583522609953996
long,2025-06-12 13:15:00,48.52,2025-06-12 22:50:00,48.03,BOS多信号开仓,BOS空信号平仓,-0.012098928276999208
short,2025-06-12 22:50:00,48.03,2025-06-13 07:30:00,46.42,BOS空信号开仓,BOS多信号平仓,0.03152071621902974
long,2025-06-13 07:30:00,46.42,2025-06-13 09:25:00,45.56,BOS多信号开仓,BOS空信号平仓,-0.020526497199482963
short,2025-06-13 09:25:00,45.56,2025-06-13 23:10:00,45.15,BOS空信号开仓,BOS多信号平仓,0.006999122036874585
long,2025-06-13 23:10:00,45.15,2025-06-14 07:10:00,44.06,BOS多信号开仓,BOS空信号平仓,-0.02614174972314498
short,2025-06-14 07:10:00,44.06,2025-06-14 12:50:00,44.88,BOS空信号开仓,BOS多信号平仓,-0.020610985020426797
long,2025-06-14 12:50:00,44.88,2025-06-14 15:35:00,43.9,BOS多信号开仓,BOS空信号平仓,-0.023836007130124903
short,2025-06-14 15:35:00,43.9,2025-06-14 23:15:00,44.28,BOS空信号开仓,BOS多信号平仓,-0.010656036446469395
long,2025-06-14 23:15:00,44.28,2025-06-15 08:10:00,43.83,BOS多信号开仓,BOS空信号平仓,-0.012162601626016343
short,2025-06-15 08:10:00,43.83,2025-06-15 19:10:00,43.99,BOS空信号开仓,BOS多信号平仓,-0.0056504677161761645
long,2025-06-15 19:10:00,43.99,2025-06-15 21:40:00,42.98,BOS多信号开仓,BOS空信号平仓,-0.02495976358263252
short,2025-06-15 21:40:00,42.98,2025-06-16 09:40:00,45.56,BOS空信号开仓,BOS多信号平仓,-0.06202791996277357
long,2025-06-16 09:40:00,45.56,2025-06-16 17:15:00,44.71,BOS多信号开仓,BOS空信号平仓,-0.020656716417910448
short,2025-06-16 17:15:00,44.71,2025-06-16 20:55:00,45.04,BOS空信号开仓,BOS多信号平仓,-0.009380899127711782
long,2025-06-16 20:55:00,45.04,2025-06-16 23:50:00,43.3,BOS多信号开仓,BOS空信号平仓,-0.040632326820603915
