side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
short,2025-06-01 01:45:00,49.87,2025-06-01 04:50:00,50.02,CHoCH空信号开仓,CHoCH多信号平仓,-0.005007820332865618
long,2025-06-01 04:50:00,50.02,2025-06-01 09:05:00,49.88,CHoCH多信号开仓,CHoCH空信号平仓,-0.00479888044782084
short,2025-06-01 09:05:00,49.88,2025-06-01 09:50:00,49.51,CHoCH空信号开仓,看涨OB信号平仓,0.005417802726543798
long,2025-06-01 09:50:00,49.51,2025-06-01 14:40:00,52.02,看涨OB信号开仓,看跌OB信号平仓,0.04869682892344995
short,2025-06-01 14:40:00,52.02,2025-06-01 16:45:00,51.56,看跌OB信号开仓,CHoCH多信号平仓,0.006842752787389441
long,2025-06-01 16:45:00,51.56,2025-06-01 18:25:00,50.63,CHoCH多信号开仓,CHoCH空信号平仓,-0.020037238169123395
short,2025-06-01 18:25:00,50.63,2025-06-01 19:50:00,51.04,CHoCH空信号开仓,CHoCH多信号平仓,-0.010097965633023785
long,2025-06-01 19:50:00,51.04,2025-06-02 00:00:00,53.13,CHoCH多信号开仓,看跌OB信号平仓,0.03894827586206895
short,2025-06-02 00:00:00,53.13,2025-06-02 05:25:00,52.75,看跌OB信号开仓,CHoCH多信号平仓,0.00515226802183333
long,2025-06-02 05:25:00,52.75,2025-06-02 06:40:00,52.77,CHoCH多信号开仓,看跌OB信号平仓,-0.0016208530805685833
short,2025-06-02 06:40:00,52.77,2025-06-02 12:40:00,53.11,看跌OB信号开仓,CHoCH多信号平仓,-0.008443054765965517
long,2025-06-02 12:40:00,53.11,2025-06-02 13:10:00,53.02,CHoCH多信号开仓,看跌OB信号平仓,-0.0036945961212576633
short,2025-06-02 13:10:00,53.02,2025-06-02 20:10:00,53.04,看跌OB信号开仓,CHoCH多信号平仓,-0.002377216144850978
long,2025-06-02 20:10:00,53.04,2025-06-02 23:35:00,54.12,CHoCH多信号开仓,看跌OB信号平仓,0.01836199095022617
short,2025-06-02 23:35:00,54.12,2025-06-03 01:15:00,54.23,看跌OB信号开仓,看涨OB信号平仓,-0.00403252032520318
long,2025-06-03 01:15:00,54.23,2025-06-03 05:25:00,54.62,看涨OB信号开仓,CHoCH空信号平仓,0.0051915913700904
short,2025-06-03 05:25:00,54.62,2025-06-03 10:20:00,53.43,CHoCH空信号开仓,CHoCH多信号平仓,0.01978689124862687
long,2025-06-03 10:20:00,53.43,2025-06-03 11:15:00,53.26,CHoCH多信号开仓,看跌OB信号平仓,-0.005181733108740481
short,2025-06-03 11:15:00,53.26,2025-06-03 12:50:00,53.02,看跌OB信号开仓,看涨OB信号平仓,0.0025061960195267314
long,2025-06-03 12:50:00,53.02,2025-06-03 16:30:00,53.23,看涨OB信号开仓,CHoCH空信号平仓,0.001960769520935381
short,2025-06-03 16:30:00,53.23,2025-06-03 18:25:00,53.11,CHoCH空信号开仓,CHoCH多信号平仓,0.00025436783768551137
long,2025-06-03 18:25:00,53.11,2025-06-03 19:30:00,53.55,CHoCH多信号开仓,看跌OB信号平仓,0.006284692148371242
short,2025-06-03 19:30:00,53.55,2025-06-03 19:40:00,54.56,看跌OB信号开仓,看涨OB信号平仓,-0.020860877684407253
