side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
long,2025-06-01 09:50:00,49.51,2025-06-01 14:40:00,52.02,看涨OB信号开仓,看跌OB信号平仓,0.04869682892344995
short,2025-06-01 14:40:00,52.02,2025-06-01 23:30:00,53.18,看跌OB信号开仓,看涨OB信号平仓,-0.02429911572472121
long,2025-06-01 23:30:00,53.18,2025-06-02 00:00:00,53.13,看涨OB信号开仓,看跌OB信号平仓,-0.002940203083866109
short,2025-06-02 00:00:00,53.13,2025-06-03 01:15:00,54.23,看跌OB信号开仓,看涨OB信号平仓,-0.022703933747411975
long,2025-06-03 01:15:00,54.23,2025-06-03 05:30:00,54.74,看涨OB信号开仓,看跌OB信号平仓,0.007404388714733702
short,2025-06-03 05:30:00,54.74,2025-06-03 12:50:00,53.02,看跌OB信号开仓,看涨OB信号平仓,0.02942126415783708
long,2025-06-03 12:50:00,53.02,2025-06-03 19:30:00,53.55,看涨OB信号开仓,看跌OB信号平仓,0.007996227838551475
short,2025-06-03 19:30:00,53.55,2025-06-03 19:40:00,54.56,看跌OB信号开仓,看涨OB信号平仓,-0.020860877684407253
long,2025-06-03 19:40:00,54.56,2025-06-03 23:35:00,54.32,看涨OB信号开仓,看跌OB信号平仓,-0.006398826979472137
short,2025-06-03 23:35:00,54.32,2025-06-04 05:15:00,53.66,看跌OB信号开仓,看涨OB信号平仓,0.010150220913107579
long,2025-06-04 05:15:00,53.66,2025-06-04 08:10:00,52.48,看涨OB信号开仓,看跌OB信号平仓,-0.023990309355199413
short,2025-06-04 08:10:00,52.48,2025-06-04 12:50:00,52.35,看跌OB信号开仓,看涨OB信号平仓,0.0004771341463414309
long,2025-06-04 12:50:00,52.35,2025-06-04 13:50:00,51.67,看涨OB信号开仓,看跌OB信号平仓,-0.014989493791786044
short,2025-06-04 13:50:00,51.67,2025-06-04 16:40:00,51.89,看跌OB信号开仓,看涨OB信号平仓,-0.0062577898200115705
long,2025-06-04 16:40:00,51.89,2025-06-05 00:05:00,50.15,看涨OB信号开仓,看跌OB信号平仓,-0.035532472538061355
